No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Multiplicity one theorem on branching laws and geometry of complex manifolds (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-1.pdf,京都大学数理解析研究所,小林  俊行,"Kobayashi, Toshiyuki"
2,Characterizing multipliers by relative invariance (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-2.pdf,京都大学数理解析研究所,小林  俊行,"Kobayashi, Toshiyuki,Nilsson, Andreas"
3,Heisenberg群上の不変CR-Laplacian型作用素に関する固有空間について (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-3.pdf,横浜市立大学総合理学研究科,伊師  英之,"Ishi, Hideyuki"
4,頂点作用素代数$V^+_L$の自己同型群 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-4.pdf,東京大学数理科学研究科,島倉  裕樹,"Shimakura, Hiroki"
5,$G$-Hilb($\mathbb{C}^3$)のフロップとFourier-向井変換 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-5.pdf,京都大学工学研究科都市環境工学専攻,石井  亮,"Ishii, Akira"
6,"Fundamental solutions, Cauchy problems and Huygens principle for invariant differential operators on prehomogeneous vector spaces of commutative parabolic type (Expansion of Lie Theory and New Advances)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-6.pdf,岐阜大学工学部,室  政和,"Muro, Masakazu"
7,"不変イデアルの整閉包,トロイダル解消と同変ベクトル束 (Lie Theoryのひろがりと新たな進展)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-7.pdf,東京大学数理科学研究科,加藤  周,"Kato, Syu"
8,MONOMIAL RELIZATION OF CRYSTAL BASES FOR SPECIAL LINEAR LIE ALGEBRAS (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-8.pdf,"Department of Mathematics, Seoul National University,School of Mathematics, Korea Institute for Advanced Study",",","Kim, Jeong-Ah,Shin, Dong-Uy"
9,4次元のLipsman予想の解決 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-9.pdf,東京大学数理科学研究科,吉野  太郎,"Yoshino, Taro"
10,Derived Categories in Representation Theory (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-10.pdf,東京学芸大学,宮地  淳一,"Miyachi, Jun-ichi"
11,Unipotent representations of unitary groups in four variables (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-11.pdf,京都大学理学研究科,今野  和子,"Konno, Kazuko"
12,一般化Drinfel'd-Sokolov階層の相似簡約とaffine Weyl群対称性 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-12.pdf,"東北大学理学部,立教大学理学部","菊地  哲也,筧  三郎","Kikuchi, Tetsuya,Kakei, Saburo"
13,擬逆元写像による対称錐の特徴付け (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-13.pdf,"京都大学理学研究科,京都大学理学研究科","甲斐  千舟,野村  隆昭","Kai, Chifune,Nomura, Takaaki"
14,On the quantized Noumi-Yamada systems (Expansion of Lie Theory and New Advances),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-14.pdf,東北大学理学研究科,名古屋  創,"Nagoya, Hajime"
15,圏のラプラシアンとスペクトルゼータ関数 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-15.pdf,九州大学数理学研究院,木本  一史,"Kimoto, Kazufumi"
16,直交リー代数の普遍包絡環における列行列式を用いた中心元 (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-16.pdf,北海道工業大学総合教育研究部,和地  輝仁,"Wachi, Akihito"
17,旗多様体上の軌道対応に関する領域の同一性について (Lie Theoryのひろがりと新たな進展),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1348-17.pdf,京都大学理学研究科,松木  敏彦,"Matsuki, Toshihiko"
