No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Braid groups and their applications,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-01.pdf,"RIMS,Nagoya Univ.",",","SAITO, Kyoji[述],KOHNO, Toshitake[記]"
2,鏡映群の基本不変式のヤコビアンについての一注意(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-02.pdf,国際基督教大学,,寺尾 宏明
3,"Reflection Groups, Combinatorics and Multi-Derivations",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-03.pdf,"Department of Mathematics, International Christian University",,"TERAO, Hiroaki"
4,LINEAR REPRESENTATIONS OF BRAID GROUPS VIA LOGARITHMIC CONNECTIONS,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-04.pdf,"Department of Mathematics, Faculty of Science, Nagoya University",,"KOHNO, Toshitake"
5,孤立特異点に関連して現われる斎藤微分方程式系の解について : A型とD型の場合(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-05.pdf,東北大学理学部,安倍 太一,"Anbai, Taichi"
6,ON THE DEFORMATION OF A CERTAIN TYPE OF ALGEBRAIC VARIETIES,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-06.pdf,,,"OKA, Mutsuo"
7,"""Star-shaped"" resolution を持つ Gorenstein 特異点について(Analytic Varieties および Stratified spaces における諸問題)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-07.pdf,筑波大学数学系,泊 昌孝,"TOMARI, Masataka"
8,多重種数有界の2-次元特異点は Q-Gorenstein 特異点である(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-08.pdf,産業医科大学,,石井 志保子
9,Decomposable な algebraic 3-knots の存在(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-09.pdf,東京大学理学部,佐伯 修,"Saeki, Osamu"
10,EXAMPLE OF SEMI-STABLE DEGENERATIONS OF KUNEV SURFACES,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-10.pdf,"Department of Mathematics, Faculty of Science, Kochi University",,"USUI, Sampei"
11,On the mixed Hodge structures in the normal crossing case,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-11.pdf,"Mathematical Institute, Tohoku University",清水 勇二,"Shimizu, Yuji"
12,Generic Torelli theorem for hypersurfaces of Kahler $C$-spaces with $b_2 = 1$.,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-12.pdf,東北大学理学部,今野 一宏,"KONNO, Kazuhiro"
13,Differentials of Prym maps and counterexamples of the infinitesimal Torelli theorem,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-13.pdf,"Institute of Mathematics, Faculty of Education, Shiga University",,"Saito, Masa-Hiko"
14,Branched Coverings of Complex Manifolds,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-14.pdf,"Department of Mathematics, Kyushu Univesity,Mathematical Institute, Tohoku Unviersity",",","Kato, Mitsuyoshi,Namba, Makoto"
15,ON FINITE GALOIS COVERINGS OF COMPACT COMPLEX MANIFOLDS,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-15.pdf,"Mathematical Institute, Tohoku University",,"Namba, Makoto"
16,$\mathbb{P}^1$上のクンマー分岐被覆の自己同型群(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-16.pdf,九州大学工学部,桜井 幸一,"Sakurai, Kouichi"
17,Cyclic cohomology of Connes,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-17.pdf,"Department of Mathematics, Tokyo Metropolitan University",,"TAKAI, Hiroshi"
18,Branching rules and Hodge cycles,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-18.pdf,東京電機大学理工学部,硲 文夫,"Hazama, Fumio"
19,完全交叉に関するHartshorne予想の周辺(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-19.pdf,京都大学理学部,,遊佐 毅
20,ある代数的対応の全射性について(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-20.pdf,東京大学理学部,,寺杣 友秀
21,Complete intersections of Fermat hypersurfaces,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-21.pdf,東京大学理学部,,寺杣 友秀
22,Characteristic classes for singular varieties,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-22.pdf,"Dept. of Math., Faculty of Engineering, University of Kagoshima",與倉 昭治,"Yokura, Shoji"
23,On vector bundles and complete intersections of finite order,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-23.pdf,,,"OHSAWA, Takeo"
24,Stable ベクトル束の limit について(Analytic Varieties および Stratified spaces における諸問題),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-24.pdf,東京理科大学理工学部,細尾 敏男,"Hosoh, Toshio"
25,ON THE VECTOR BUNDLES WHOSE ENDOMORPHISMS YIELD QUATERNION ALGEBRAS OF CYCLIC TYPE OVER A PRODUCT OF TWO ELLIPTIC CURVES,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-25.pdf,Waseda University,楫 元,"KAJI, Hajime"
26,Configuration of divisors and reflexive sheaves : A combinatorial method in construction of reflexive sheaves,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0634-26.pdf,,,"Sasakura, Nobuo"
