No.,title,link,Affiliation,Author in JPN,Author in ENG
1,大学の数学教育における数式処理と{\TeX}の活用 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-01.pdf,城西大学理学部,大島 利雄,"Oshima,Toshio"
2,Challenges and Opportunities when Crossing Languages in the Search for Mathematics Open Educational Resources (Study of Mathematical Software and Its Effective Use for Mathematics Education),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-02.pdf,Weingarten University of Education,,"Libbrecht,Paul"
3,頂点から内心への変換式・逆変換式の簡明な導出法 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-03.pdf,"龍谷大学理工学部,龍谷大学理工学部,龍谷大学理工学部","大西 俊弘,山岸 義和,四ツ谷 晶二","Onishi,Toshihiro,Yamagishi,Yoshikazu,Yotsutani,Shoji"
4,動的幾何ソフトによる図形認識力の育成 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-04.pdf,静岡県立磐田南高等学校,入谷 昭,"Iritani,Akira"
5,動的幾何学ソフトウェアによる四元数の積の可視化とその応用 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-05.pdf,東海大学理学部数学科,前田 陽一,"Maeda,Yoichi"
6,高等学校数学科におけるスマートフォンの活用実践とそれに関する一考察 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-06.pdf,千葉県立船橋啓明高等学校,大橋 真也,"Ohashi,Shinya"
7,数式処理システムMathematicaを用いた高校生による数学研究 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-07.pdf,"関西学院高等部,EM Software","宮寺 良平,福井 昌則","Miyadera,Ryohei,Fukui,Masanori"
8,応用数学を理解するための数学ソフトウエアの役割 : 工学専攻の授業を通しての考察 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-08.pdf,日本大学理工学部,山本 修一,"Yamamoto,Shuichi"
9,数式入力による数学評価システム Maple T.A. を利用した理工系学部での基礎教育 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-09.pdf,龍谷大学理工学部,樋口 三郎,"Higuchi,Saburo"
10,"MoodleとSTACKによる微分方程式, ガンマ関数, ベータ関数の問題 (数学ソフトウェアとその効果的教育利用に関する研究)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-10.pdf,"日本大学医学部,日本大学医学部,名古屋大学大学院情報科学研究科,三玄舎","谷口 哲也,宇田川 誠一,中村 泰之,中原 敬広","Taniguchi,Tetsuya,Udagawa,Seiichi,Nakamura,Yasuyuki,Nakahara,Takahiro"
11,教員の負担軽減と学生の計算力向上を目指した e-Learning system の構築とブレンド型演習の実践 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-11.pdf,東京都立産業技術高等専門学校ものづくり工学科,齋藤 純一,"Saito,Jun-ichi"
12,高等学校数学科における活性化教材の開発 : 数学を数学に活用する取り組み (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-12.pdf,芝浦工業大学工学部,牧下 英世,"Makishita,Hideyo"
13,高等学校数学科・情報科における反転授業による指導法の検討 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-13.pdf,"東京理科大学大学院科学教育研究科,東京理科大学理学部科学教育研究科","柴山 紗矢香,清水 克彦","Shibayama,Sayaka,Shimizu,Katsuhiko"
14,線形代数学の計算ドリルサイトの目的と実装 (数学ソフトウェアとその効果的教育利用に関する研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1978-14.pdf,大阪産業大学経済学部,服部 純典,"Hattori,Yoshinori"
