No.,title,link,Affiliation,Author in JPN,Author in ENG
1,On Compact 3-Manifolds with Infinite Cyclic First Homology Groups (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-01.pdf,神戸大学理学部,河内 明夫,"KAWAUCHI,AKIO"
2,Property Pを持つKnotのある特別なClassについて (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-02.pdf,神戸大学理学部,中川 洋子,"NAKAGAWA,YOKO"
3,Property PをもつLinkについて (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-03.pdf,上智大学理工学部,横山 和夫,"YOKOYAMA,KAZUO"
4,Cartesian Product of a Homotopy 4-Sphere with $E^1$ (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-04.pdf,北海道大学理学部,小林 一章,"KOBAYASHI,KAZUAKI"
5,穴を開けた球面のアイソトピー群について (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-05.pdf,東京教育大学理学部,金戸 武司,"KANETO,TAKESHI"
6,Boring 3-Manifolds (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-06.pdf,相模工業大学,津久井 康之,"TSUKUI,YASUYUKI"
7,閉曲面上の閉曲線群について (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-07.pdf,上智大学理工学部,寺阪 英孝,"TERASAKA,HIDETAKA"
8,Heegaard分解と曲面上の曲線系について (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-08.pdf,東京工業大学理学部,本間 龍雄,"HONMA,TATSUO"
9,Non-Orientable Closed ManifoldのOrientable Manifoldの中への写像について (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-09.pdf,関西学院大学,崎田 広造,"SAKITA,KOZO"
10,Knotのある不変性 (Knotting problemについて),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0219-10.pdf,日本大学農獣医学部,徳田 広太郎,"TOKUDA,HIROTARO"
