No.,title,link,Affiliation,Author in JPN,Author in ENG
1,反応拡散系の2次元定常パターン (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-01.pdf,広島大学理学部,伊藤 正幸,"ITO,MASAYUKI"
2,Hopf Bifurcation of Semilinear Evolution Equations (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-02.pdf,東京大学教養学部,伊藤 達夫,"ITO,TATSUO"
3,半線形発展方程式に応ずる非線形半群について (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-03.pdf,航空宇宙技術研究所,高橋 匡康,"TAKAHASHI,TADAYASU"
4,非線形固有値問題に対する変分的方法についての一注意 (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-04.pdf,電気通信大学,海津 聰,"KAIZU,SATOSHI"
5,パンルベIV型方程式の誤差関数解について (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-05.pdf,"愛媛大学工学部,愛媛大学工学部","亀高 惟倫,野田 松太郎","KAMETAKA,YOSHINORI,NODA,MATSUTARO"
6,偏微分方程式に対するPCG法について (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-06.pdf,"慶応義塾大学理工学部,慶応義塾大学理工学部","高橋 秀俊,野寺 隆","TAKAHASHI,HIDETOSHI,NODERA,TAKASHI"
7,On the Unique Solvability of the Equation Describing Unsteady Motion of a Stratified Fluid (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-07.pdf,東京大学理学部,岡本 久,"OKAMOTO,HISASHI"
8,圧縮性粘性流体の方程式に対するエネルギー法 (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-08.pdf,"京都大学工学部,奈良女子大学理学部,奈良女子大学理学部","松村 昭孝,川島 秀一,岡田 真理","MATSUMURA,AKITAKA,KAWASHIMA,SHUICHI,OKADA,MARI"
9,ラプラス方程式に対する自由境界問題の数値解析 (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-09.pdf,"東京大学工学部,パリ大学,電気通信大学","河原田 秀夫,PIRONNEAU 0.,花田 孝郎","KAWARADA,HIDEO,PIRONNEAU,0.,HANADA,TAKAO"
10,The Asymptotic Behavior of the Free Boundary in a One Phase Stefan Problem (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-10.pdf,"東京大学教養学部,東京大学教養学部","筧 義郎,黒田 成俊","KAKEHI,YOSHIRO,KURODA,SHIGETOSHI"
11,Generalized J-Integral and Its Application : An Interpretation of Hadamard's Variational Formula (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-11.pdf,広島電機大学,大塚 厚ニ,"OTSUKA,KOJI"
12,Quasi-Staticな塑性問題の可解性について (応用科学における偏微分方程式と数値解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0462-12.pdf,熊本大学理学部,三好 哲彦,"MIYOSHI,TETSUHIKO"
