No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Spectral properties of Schrodinger operators on perturbed lattices (Spectral and Scattering Theory and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-01.pdf,"Inha University,筑波大学数理物質系数学域,芝浦工業大学教育イノベーション推進センター","安藤 和典,磯崎 洋,森岡 悠","Ando,Kazunori,Isozaki,Hiroshi,Morioka,Hisashi"
2,平均場シュレーディンガー作用素のスペクトル解析 (スペクトル・散乱理論とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-02.pdf,東京工業大学理工学研究科数学専攻,清水 翔之,"Shimizu,Shoji"
3,Existence of a ground state of a model of relativistic quantum electrodynamics with cutoffs for all values of coupling constants (Spectral and Scattering Theory and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-03.pdf,群馬大学理工学部,高江洲 俊光,"Takaesu,Toshimitsu"
4,Golden-Thompson Type Inequalities and Functional Integral Approach to Boson-Fermion Systems (Spectral and Scattering Theory and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-04.pdf,北海道大学理学研究院,新井 朝雄,"Arai,Asao"
5,Stability of stationary solutions to hyperbolic-parabolic systems in half space and the convergence rate (Spectral and Scattering Theory and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-05.pdf,東京工業大学情報理工学研究科,西畑 伸也,"Nishibata,Shinya"
6,Maxwell方程式と弾性方程式の関係について (スペクトル・散乱理論とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-06.pdf,茨城大学教育学部,曽我 日出夫,"Soga,Hideo"
7,多様体上のディラック作用素のレゾナンスについて : hyperbolic surfaceの例 (スペクトル・散乱理論とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-07.pdf,兵庫県立大学大学院物質理学研究科,保城 寿彦,"Hoshiro,Toshihiko"
8,"$L^{p}$-boundedness of wave operators, Revisited (Spectral and Scattering Theory and Related Topics)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-08.pdf,学習院大学理学部,谷島 賢二,"Yajima,Kenji"
9,多様体上の相対ハーディ型不等式とシュレーディンガー作用素の離散固有値 (スペクトル・散乱理論とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-09.pdf,東京工業大学理工学研究科,芥川 和雄,"Akutagawa,Kazuo"
10,"Rellich's theorem, limiting absorption principle and radiation condition on manifold with ends (Spectral and Scattering Theory and Related Topics)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1975-10.pdf,"神戸大学理学研究科,Institut for Matematiske Fag, Aarhus Universitet","伊藤 健一,Skibsted Erik","Ito,Kenichi,Skibsted,Erik"
