No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Shade-Effectのある植物固体群のSize分布 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-01.pdf,"京都大学理学部,京都大学理学部","高田 壮則,巌佐 庸","TAKADA,TAKENORI,IWASA,YOH"
2,固体群の世代の重りの程度と安定性との関係について (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-02.pdf,佐賀医科大学数学,山村 則男,"YAMAMURA,NORIO"
3,Predator-Preyボルテラモデルにおける進化の特微 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-03.pdf,千葉大学工学部,平田 廣則,"HIRATA,HIRONORI"
4,捕食・被捕食者系の遷移 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-04.pdf,"立命館大学理工学部,立命館大学理工学部","中島 久男,坂部 清人","NAKAJIMA,HISAO,SAKABE,KIYOHITO"
5,競争型反応-拡散方程式系の棲み分け解について (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-05.pdf,"広島大学工学部,広島大学理学部,熊本大学理学部","岸本 一男,三村 昌泰,吉田 清","KISHIMOTO,KAZUO,MIMURA,MASAYASU,YOSHIDA,KIYOSHI"
6,利他主義の進化 (第2報) (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-06.pdf,"九州大学理学部,九州大学理学部","田町 信雄,松田 博嗣","TAMACHI,NOBUO,MATSUDA,HIROTSUGU"
7,多型現象に及ぼすサイズ効果と環境ゆらぎ効果 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-07.pdf,"九州大学理学部,九州大学理学部,九州大学理学部","飯塚 勝,石井 一成,松田 博嗣","IIZUKA,MASARU,ISHII,KAZUSHIGE,MATSUDA,HIROTSUGU"
8,Estimation of Evolutionary Distance under a Mathematical Model of Extranuclear DNA Molecule (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-08.pdf,国立遺伝研究所,高畑 尚之,"TAKAHATA,NAOYUKI"
9,Polygenic Models of Group Selection for Altruism (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-09.pdf,国立遺伝研究所,青木 健一,"AOKI,KENICHI"
10,種の多様性と個体数の分布 : 成長する系の一般的Size分布 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-10.pdf,"京都大学理学部,京都大学理学部,京都大学理学部","寺本 英,重定 南奈子,川崎 広吉","TERAMOTO,EI,SHIGESADA,NANAKO,KAWASAKI,KOHKICHI"
11,多種競争系の構造と安定性 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-11.pdf,"京都大学理学部,京都大学理学部,同志社大理工学研究所","重定 南奈子,寺本 英,川崎 広吉","SHIGESADA,NANAKO,TERAMOTO,EI,KAWASAKI,KOHKICHI"
12,引き込み現象による集団的律動の発生 (Mathematical Topics in Biology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0457-12.pdf,京都大学基礎物理学研究所,蔵本 由紀,"KURAMOTO,YOSHIKI"
