No.,title,link,Affiliation,Author in JPN,Author in ENG
1,ラプラス作用素の指数型固有関数について(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-1.pdf,"上智大学,佐賀大学","森本 光生,藤田 景子","Morimoto, Mitsuo,Fujita, Keiko"
2,特異点をもつ非線型偏微分方程式の解の一意性について(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-2.pdf,上智大学理工学部,田原 秀敏,"TAHARA, Hidetoshi"
3,進行波に沿った線型化固有値問題へのTOPOLOGICALなアプローチ(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-3.pdf,京都大学理学部数学教室,新居 俊作,"NII, SHUNSAKU"
4,ON THE CONFLUENT HYPERGEOMETRIC FUNCTIONS IN 2 VARIABLES(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-4.pdf,"Graduate School of Mathematical Sciences, The University of Tokyo",陸 永岩,"LU, YONGYAN"
5,Holonomic deformation of linear differential equations of the $A_g$ type(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-5.pdf,"Department of Mathematical Sciences, University of Tokyo",,"LIU, DEMING"
6,パンルヴェIV型方程式の多変数化(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-6.pdf,東京大学数理科学研究科,川向 洋之,"Kawamuko, Hiroyuki"
7,Cauchy Problems for Sheaves and its Applications(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-7.pdf,"Department of Mathematical Science University of Tokyo,Department of Mathematics, Hiroshima University","小清水 寛,竹内 潔","KOSHIMIZU, HIROSHI,TAKEUCHI, KIYOSHI"
8,Trimicrolocalization functorについて(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-8.pdf,千葉大学自然科学研究科,渡辺 悟,"Watanabe, Satoru"
9,対称性の入った順序保存力学系における安定性解析(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-9.pdf,東京大学数理科学研究科,萩原 俊子,"Ogiwara, Toshiko"
10,Singularities of the Bergman kernel for certain weakly pseudoconvex domains(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-10.pdf,Univ. of Tokyo,,"Kamimoto, Joe"
11,A period-doubling bifurcation for the Duffing equation(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-11.pdf,"Department of Mathematics, Osaka University",小松 幸恵,"Komatsu, Yukie"
12,2次元非圧縮性粘性流体の方程式系の周期解に関する分岐問題(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-12.pdf,奈良女子大学理学部,松田 真実,"MATSUDA, MAMI"
13,解析汎関数のいくつかの変換とその応用(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-13.pdf,上智大学理工学部,吉野 邦生,"Yoshino, Kunio"
14,定数磁場と周期的ポテンシャルを持つSchrodinger Operatorの状態密度関数について(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-14.pdf,京都大学理学部,峯 拓矢,"MINE, TAKUYA"
15,磁場をもつSchrodinger作用素の固有値の漸近分布について(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-15.pdf,"京都大学理学部,大阪大学理学部","岩塚 明,白井 慎一","Iwatsuka, Akira,Shirai, Shin-ich"
16,MOURRE THEORY FOR TIEM-PERIODIC SYSTEMS(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-16.pdf,"DEPARTMENT OF MATHEMATICS, OSAKA UNIVERSITY",,"YOKOYAMA, KOICHIRO"
17,SCALING函数のW空間の次元及びJOINT SPECTRAL RADIUS(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-17.pdf,,,程  遠
18,Colombeau型超函数の中での微分方程式の可解性と非可解性(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-18.pdf,東京大学数理科学研究科,富川 尚充,"Tomikawa, Takamitu"
19,小林計量の凸性について(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-19.pdf,東京大学大学院数理科学研究科,小林 正史,"Kobayashi, Masashi"
20,Almost Global Existence of Solution for the Quadratic Semilinear Klein-Gordon Equation in One Space Dimension(Study of Partial Differential Equations by means of Functional Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-20.pdf,東京大学数理科学研究科,利根川 聡,"TONEGAWA, Satoshi"
21,非線型Klein-Gordon方程式の大域解の存在に対する一注意(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-21.pdf,京都大学大学院工学部研究科数理工学,片山 聡一郎,"Katayama, Soichiro"
22,退化したSchrodinger型方程式に対する初期値問題(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-22.pdf,京都大学大学院人間・環境学研究科,安藤 広,"Ando, Hiroshi"
23,対称系に対する特異境界値問題(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-23.pdf,"大阪大学理学部,大阪大学理学部","西谷 達雄,高山 正宏","Nishitani, Tatsuo,Takayama, Masahiro"
24,ファックス型超局所微分作用素に対するグルサ問題とその応用(函数解析を用いた偏微分方程式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0969-24.pdf,東京大学大学院数理科学研究科,山崎 晋,"Yamazaki, Susumu"
