No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Nonstandard Analysis and Applications to Probability Theory and Potential Theory,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-01.pdf,"Department of Mathematics, University of Illinois",,"Loeb, Peter A."
2,超関数と一般関数(Nonstandard Analysisの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-02.pdf,鳥取大学教育学部,栗林 幸男,"Kuribayashi, Yukio"
3,Sum of Infinitesimal Random Variables,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-03.pdf,大阪市立大学理学部,釜江 哲朗,"KAMAE, Teturo"
4,Nonstandard representations of hear kernels on compact Riemannian manifolds,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-04.pdf,静岡大学工学部,明山 浩,"AKIYAMA, Hiroshi"
5,Feynman経路積分の無限小解析による合理化(Nonstandard Analysisの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-05.pdf,駿台予備学校,中村 徹,"Nakamura, Tooru"
6,On algebraic extensions of the nonstandard rational number field,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0701-06.pdf,NAGOYA UNIVERSITY,,"YASUMOTO, MASAHIRO"
