No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Hermite-Jacobi再生核の計算代数解析 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-1.pdf,"新潟大学工学部,お茶の水女子大学大学院","田島  慎一,中村  弥生","Tajima, Shinichi,Nakamura, Yayoi"
2,擬凸領域の部分多様体からの正則関数の接続について (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-2.pdf,長崎大学教育学部,安達  謙三,"Adachi, Kenzo"
3,Berezin核をめぐって (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-3.pdf,京都大学理学研究科,野村  隆昭,"Nomura, Takaaki"
4,再生核から見た多変数複素解析 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-4.pdf,名古屋大学多元数理科学研究科,大沢  健夫,"Ohsawa, Takeo"
5,複素球状領域のBergman核 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-5.pdf,佐賀大学文化教育学部,藤田  景子,"Fujita, Keiko"
6,"Bell's results on, and representations of finitely connected planar domains (Applications of the theory of reproducing kernels)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-6.pdf,京都大学理学研究科,谷口  雅彦,"Taniguichi, Masahiko"
7,Fuchs群によって不変なPick-補間問題の解について (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-7.pdf,奈良女子大学理学部,高橋  世知子,"Takahashi, Sechiko"
8,再生核をもつヒルベルト空間の一般ノルム不等式と等号問題 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-8.pdf,東京学芸大学教育学部,山田  陽,"Yamada, Akira"
9,Spline/wavelet approximation of functions and its applications to numerical computation of evolution equations (Applications of the theory of reproducing kernels),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-9.pdf,"東京都立大学理学研究科数学,東京都立大学理学研究科数学","上野  敏秀,岡田  正巳","Ueno, Toshihide,Okada, Masami"
10,1次元Sobolev空間の再生核とSobolevの不等式の最良定数について (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-10.pdf,防衛大学校情報工学科,渡辺  宏太郎,"Watanabe, Kohtaro"
11,An integral transform related to an operator in quantum mechanics on $S^1$ (Applications of the theory of reproducing kernels),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-11.pdf,愛知工科大学工学部,渡辺  秀司,"Watanabe, Shuji"
12,$\alpha$-parabolic Bergman spaces and their reproducing kernels (Applications of the theory of reproducing kernels),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-12.pdf,"茨城大学理学部,名古屋大学多元数理研究科,大阪市立大学理学研究科","下村  勝孝,鈴木  紀明,西尾  昌治","Shimomura, Katsunori,Suzuki, Noriaki,Nishio, Masaharu"
13,Active Learning for Maximal Generalization Capability (Applications of the theory of reproducing kernels),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-13.pdf,"東京工業大学情報理工学研究科,東京工業大学情報理工学研究科","小川  英光,杉山  将","Ogawa, Hidemitsu,Sugiyama, Masashi"
14,代用電荷法による数値等角写像とポテンシャル流問題への応用(再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-14.pdf,"愛媛大学工学部,愛媛大学工学部,愛媛大学工学部,愛媛大学工学部,名古屋大学工学研究科","天野  要,玉井  政行,岡野  大,緒方  秀教,杉原  正顯","Amano, Kaname,Tamai, Masayuki,Okano, Dai,Ogata, Hidenori,Sugihara, Masaaki"
15,周期的Stokes流問題に対する基本解法 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-15.pdf,"愛媛大学工学部,愛媛大学工学部,愛媛大学工学部,愛媛大学工学部,名古屋大学工学研究科","緒方  秀教,天野  要,岡野  大,安田  雄二,杉原  正顯","Ogata, Hidenori,Amano, Kaname,Okano, Dai,Yasuda, Yuji,Sugihara, Masaaki"
16,Tikhonov Regularizationを用いた方程式の近似解法への再生核理論の応用 (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-16.pdf,群馬大学工学部,斎藤  三郎,"Saitoh, Saburou"
17,ソボレフ空間による関数の近似について (再生核の理論の応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-17.pdf,"群馬大学工学部,群馬大学工学部,群馬大学工学部","斎藤  三郎,松浦  勉,アサズザーマン  エムデー","Saitoh, Saburou,Matsuura, Tsutomu,Asaduzzaman, Md."
18,Real Inversion Formulas of the Gaussian convolution (Applications of the theory of reproducing kernels),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1352-18.pdf,"群馬大学工学部,群馬大学工学部,群馬大学工学部","斎藤  三郎,アサズザーマン  エムデー,松浦  勉","Saitoh, Saburou,Asaduzzaman, Md.,Matsuura, Tsutomu"
