No.,title,link,Affiliation,Author in JPN,Author in ENG
1,退化主系列表現について (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-1.pdf,京都大学理学研究科,池田  保,"Ikeda, Tamotsu"
2,$GL_n$のZELEVINSKI INVOLUTIONについて (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-2.pdf,京都大学理学研究科,平賀  郁,"Hiraga, Kaoru"
3,Waldspurgerによる$p$進簡約群のPlancherel公式の構成 (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-3.pdf,九州大学数理学研究院,今野  拓也,"Konno, Takuya"
4,SYMMETRIC VARIETIES (Harmonic Analysis on p-adic groups),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-4.pdf,名古屋大学多元数理科学研究科,宇澤  達,"Uzawa, Tohru"
5,SPHERICAL FUNCTIONS ON THE SYMMETRIC VARIETY $GL_{2n}(F)/GL_n(E)$ WHERE $E/F$ IS QUADRATIC UNRAMIFIED (Harmonic Analysis on p-adic groups),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-5.pdf,明石工業高等専門学校,高野  啓児,"Takano, Keiji"
6,古典群のfundamental strata (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-6.pdf,神戸大学自然科学研究科,宮内  通孝,"Miyauchi, Michitaka"
7,古典群のfundamental stratumのフィルトレ-ションについて (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-7.pdf,尾道大学経済情報学部,刈山  和俊,"Kariyama, Kazutoshi"
8,$F$階数1のユニタリ群の表現 (p進群の調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-8.pdf,京都大学人間環境学研究科,今野  和子,"Konno, Kazuko"
9,LOCAL THETA CORRESPONDENCES AND PLANCHEREL MEASURES (Harmonic Analysis on p-adic groups),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1321-9.pdf,大阪市立大学理学研究科,市野  篤史,"Ichino, Atsushi"
