No.,title,link,Affiliation,Author in JPN,Author in ENG
1,浮動小数点表現に代る実数値表現法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-01.pdf,日立製作所システム開発研究所,浜田 穂積,"HAMADA,HOZUMI"
2,並列計算機PACSによる数値シミュレーション (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-02.pdf,筑波大学構造,星野 力,"HOSHINO,TSUTOMU"
3,並列計算機ADINAと並列アルゴリズム (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-03.pdf,京都大学工学部,野木 達夫,"NOGI,TATSUO"
4,スツルム・同時逆反復法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-04.pdf,"日立製作所中央研究所,日立製作所ソフト","村田 健郎,後 保範","MURATA,KENRO,USHIRO,YASUNORI"
5,スツルム・ランチョス法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-05.pdf,"日立製作所中央研究所,日立製作所中央研究所","村田 健郎,梅谷 征雄","MURATA,KENRO,UMETANI,MASAO"
6,ベクトル計算機向き不完全三角分解 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-06.pdf,日立製作所ソフト,後 保範,"USHIRO,YASUNORI"
7,Menger-Decomposition of a Graph and Its Application to the Structural Analysis of a Large Scale System (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-07.pdf,東京大学工学部,室田 一雄,"MUROTA,KAZUO"
8,The Subroutine Package NAES for the Solution of a System of Nonlinear Equations : Deflation Algorithm (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-08.pdf,"大阪教育大学,山形大学理学部,京都大学数理解析研究所","小鹿 丈夫,渡部 敏,三井 斌友","OJIKA,TAKEO,WATANABE,SATOSHI,MITSUI,TAKETOMO"
9,激しい振動積分$\int_{-1}^{1}e^{i{\omega}t}f(t)dt$の求積法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-09.pdf,"名古屋大学工学部,名古屋大学工学部","長谷川 武光,鳥居 達生","HASEGAWA,TAKEMITSU,TORII,TATSUO"
10,"$x$が小さい場合の不完全ガンマ関数$\Gamma(v,x)$の数値計算 (数値計算のアルゴリズムの研究)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-10.pdf,"名古屋大学工学部,名古屋大学工学部","吉田 年雄,二宮 市三","YOSHIDA,TOSHIO,NINOMIYA,ICHIZO"
11,一様な相対誤差をもつ誤差関数の計算法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-11.pdf,筑波大学電子・情報工学系,森 正武,"MORI,MASATAKE"
12,6個の関数計算による実質的6次のRunge-Kutta法 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-12.pdf,"東京都立農芸高等学校,千葉大学工学部","小野 令美,戸田 英雄","ONO,HARUMI,TODA,HIDEO"
13,ベキ級数による非線形微分方程式の数値計算 (数値計算のアルゴリズムの研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0453-13.pdf,早稲田大学理工学部,室谷 義昭,"MUROYA,YOSHIAKI"
