No.,title,link,Affiliation,Author in JPN,Author in ENG
1,集合値写像の写像度 (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-01.pdf,東北大学理学部,上之郷 高志,"KAMINOGO,TAKASHI"
2,関数微分方程式の漸近的性質について (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-02.pdf,山梨大学工学部,栗原 光信,"KURIHARA,MITSUNOBU"
3,非線形関数微分方程式の解の振動について (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-03.pdf,長崎大学教育学部,北村 右一,"KITAMURA,YUICHI"
4,関数微分方程式における比較定理 (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-04.pdf,"広島大学理学部,広島大学理学部","草野 尚,内藤 学","KUSANO,TAKASHI,NAITO,MANABU"
5,無限の遅れをもつ函数微分方程式における不変集合について (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-05.pdf,東北大学理学部,澤野 健介,"SAWANO,KENSUKE"
6,無限の遅れを持つ関数微分方程式の基本行列 (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-06.pdf,電気通信大学,内藤 敏機,"NAITO,TOSHIKI"
7,関数微分方程式の非線形周期系の周期解の存在について (関数微分方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-07.pdf,岩手大学教育学部,古用 哲夫,"FURUMOCHI,TETSUO"
8,Steady Motions Exhibited by Duffing's Equation : A Picture Book of Regular and Chaotic Motions (Functional Differential Equations),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0379-08.pdf,京都大学工学部,上田 [ヨシ]亮,"UEDA,YOSHISUKE"
