No.,title,link,Affiliation,Author in JPN,Author in ENG
1,植物特有の現象のモデリング (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-01.pdf,北海道大学地球環境科学研究院,高田  壮則,"TAKADA, Takenori"
2,理論疫学 : 感染症流行の個体群動態モデルによる研究のこれまでと今後の課題 (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-02.pdf,広島大学保健学研究科,梯  正之,"Kakehashi, Masayuki"
3,個体群動態モデルの数学および時間遅れ (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-03.pdf,慶北大学数学科,齋藤  保久,"Saito, Yasuhisa"
4,他の生物では見られない人間特有の社会行動・社会現象をどうモデル化していくのか? : パーソナリティに着目して (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-04.pdf,東京工業大学社会理工学研究科,中丸  麻由子,"Nakamaru, Mayuko"
5,相手に関する情報を得ることは有利か? : 情報収集に関する最適化問題のモデル化 (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-05.pdf,"東京大学情報理工学系研究科数理情報学専攻,京都大学農学部森林科学科森林生態学分野,横浜国立大学環境情報学府環境リスクマネジメント専攻,大阪大学歯学部","大竹  洋平,齊藤  わか,管家   千誠,吉田  信介","OTAKE, Yo-Hey,SAITO, Waka,SUGAYA, Kazumasa,YOSHIDA, Shinsuke"
6,癌因子制御の数理モデル : 力学系の視点から (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-06.pdf,"青山学院大学国際マネジメント研究科,横浜国立大学環境情報学府,九州大学理学研究院理学府,東京医科歯科大学生命情報科学教育部","福井  義高,小嶋  雄太,波江野  洋,成尾  佳美","Fukui, Yoshitaka,Kojima, Yuta,Haeno, Hiroshi,Naruo, Yoshimi"
7,ササは本当に強いのか? (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-07.pdf,"岡山大学環境学研究科,横浜国立大学環境情報学府,立命館大学理工学研究科,京都大学生態研究センター","李  聖林,秋田  鉄也,川口  喬,広永  良","Lee, Sungrim Seirin,Akita, Tetsuya,Kawaguchi, Takashi,Hironaga, Ryo"
8,相互作用構造は異なる毒性進化を促進するか? (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-08.pdf,"九州大学理学府生物科学専攻,静岡大学創造科学技術大学院,京都大学農学研究科,東京工業大学社会理工学研究科","井磧  直行,岩見  真吾,本間  淳,関口  卓也","Iseki, Naoyuki,Iwami, Shingo,Honma, Atsushi,Sekiguchi, Takuya"
9,季節型を考慮した個体群動態 : Hybridダイナミカルシステムを用いた解析 (新しい生物数学の研究交流プロジェクト),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1598-09.pdf,"関西学院大学経済学研究科経済学専攻,横浜国立大学環境情報学府環境リスクマネジメント専攻,東京大学数理科学研究科数学専攻,龍谷大学理工学研究科環境ソリューション専攻","吉川  満,加藤  直人,浦田  道夫,坂戸  克匡","KIKKAWA, Mitsuru,KATO, Naoto,URATA, Michio,SAKATO, Yoshikuni"
10,時間遅れを考慮したCO_2排出量規制戦略,,"静岡大学工学研究科,大阪大学生命機能研究科,神戸大学人間発達環境学研究科,京都大学理学研究科","本田  卓也,細田  一史,桑村  雅隆,高橋  大輔","Honda, Takuya,Hosoda, Kazuhumi,Kuwamura, Masataka,Takahashi, Daisuke"
