No.,title,link,Affiliation,Author in JPN,Author in ENG
1,WEAK AND STRONG CONVERGENCE THEOREMS FOR NONLINEAR OPERATORS AND THEIR APPLICATIONS (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-1.pdf,東京工業大学情報理工学研究科,高橋  渉,"Takahashi, Wataru"
2,Generalized Dual System Structure and Fixed Point Theorems for Multi-valued Mappings (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-2.pdf,"大阪大学経済学研究科,大阪大学経済学研究科","浦井  憲,横田  耕祐","Urai, Ken,Yokota, Kousuke"
3,Cross-Dual on The Golden Optimum Solutions (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-3.pdf,九州大学経済学研究院,岩本  誠一,"Iwamoto, Seiichi"
4,Rational Expectations and the Modigliani-Miller Theorem (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-4.pdf,一橋大学経済学研究科,武隈  愼一,"Takekuma, Shin-Ichi"
5,General Equilibrium Theory for Economy with Asymmetric Information : Basic Model (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-5.pdf,"大阪大学経済学研究科,大阪大学経済学研究科","浦井  憲,吉町  昭彦","Urai, Ken,Yoshimachi, Akihiko"
6,"A Summary on ""Collusion, Fluctuating Demand, and Price Rigidity"" (Mathematical Economics)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-6.pdf,"京都大学経済学研究所,","花薗  誠,","Hanazono, Makoto,Yang, Huanxing"
7,R&D,,神戸大学経済学研究科,春山  鉄源,"Haruyama, Tetsugen"
8,A short-run and long-run analysis of a quasi-stochastic monetary economy (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-8.pdf,神戸大学経済学研究科,中村  保,"Nakamura, Tamotsu"
9,Unstable Periodic Orbits and Chaotic Transitions in a Macro-Economic Model (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-9.pdf,",東京大学数理科学研究科","石山  健一,斉木  吉隆","Ishiyama, Ken-ichi,Saiki, Yoshitaka"
10,On Convergence of Sum of White noises to Periodic Stochastic Process (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-10.pdf,慶応義塾大学経済学研究科,加藤  寛之,"Kato, Hiroyuki"
11,Pricing Lookback Options with Knock-out Boundaries (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-11.pdf,日本銀行,室井  芳史,"Muroi, Yoshifumi"
12,The Consistency in Interest Rate Models/Extending the support theorem and the viability theorem (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-12.pdf,株式会社三菱証券,中山  季之,"Nakayama, Toshiyuki"
13,Mean-variance hedging for discontinuous processes : a survey and examples (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-13.pdf,慶応義塾大学経済学研究科,新井  拓児,"Arai, Takuji"
14,ON THE VERIFICATION THEOREM OF CONTINUOUS-TIME OPTIMAL PORTFOLIO PROBLEMS WITH STOCHASTIC MARKET PRICE OF RISK (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-14.pdf,"一橋大学国際企業戦略研究科,一橋大学国際企業戦略研究科","本多  俊毅,上村  昌司","Honda, Toshiki,Kamimura, Shoji"
15,A Note on Twisted Dual Games (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-15.pdf,兵庫県立大学経営学研究科,菊田  健作,"Kikuta, Kensaku"
16,On the Computation of Cores of Games with Punishment-Dominance Relations (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-16.pdf,慶応義塾大学経済学研究科,増澤  拓也,"Masuzawa, Takuya"
17,A Question on the Usefulness of Copyright Protection (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-17.pdf,慶応義塾大学経済学研究科,細矢  祐誉,"Hosoya, Yuhki"
18,The Effects of Learning on the Existence of Stable International Environmental Agreements (Mathematical Economics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1443-18.pdf,九州大学経済学研究院,藤田  敏之,"Fujita, Toshiyuki"
