No.,title,link,Affiliation,Author in JPN,Author in ENG
1,THE WORLD OF RATIONAL GORENSTEIN SINGULARITIES(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-1.pdf,"Department of Mathematics, Tokyo Metropolitan University",,"ITO,YUKARI"
2,Chern number formula for ramified coverings(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-2.pdf,"Department of Mathematics, Faculty of Science, Hokkaido University",,"Izawa,Takeshi"
3,CHERN CLASSES OF LOCAL COMPLETE INTERSECTIONS WITH ISOLATED SINGULARITIES(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-3.pdf,"Department of Mathematics, Hokkaido University",,"SUWA,TATSUO"
4,Fundamental groups of complements to hypersurfaces(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-4.pdf,"Department of Mathematics, Hokkaido University",,"Shimada,Ichiro"
5,Hypersurface non-rational singularities which look like canonical from its Newton boundary(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-5.pdf,"東京工業大学理学部,金沢大学自然科学研究科","石井 志保子,泊 昌孝","ISHII,Shihoko,TOMARI,Masataka"
6,Multidimensional local residues and holonomic D-modules(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-6.pdf,"新潟大学,横浜市立大学,お茶の水女子大学","田島 慎一,大阿久 俊則,中村 弥生","Tajima,Shinichi,Oaku,Toshinori,Nakamura,Yayoi"
7,The local analytical triviality of a complex analytic singular foliation(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-7.pdf,北海道大学,吉崎 純也,"Yoshizaki,Junya"
8,Compact and reductive subgroups of the group of holomorphic automorphisms of $\mathbb{C}^n$(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-8.pdf,"Mathematisches Institut,",,"KUTZSCHEBAUCH,FRANK"
9,孤立特異点の平滑化と $\mathbf{QUILLEN}$ の計量(特異点と複素解析幾何),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-9.pdf,名古屋大学多元数理科学研究科,吉川 謙一,"YOSHIKAWA,KEN-ICHI"
10,QUANTIFICATION OF THE SINGULARITIES OF OSGOOD AND WHITNEY(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-10.pdf,近畿大学理工学部,泉 脩藏,"IZUMI,Shuzo"
11,A localization lemma and its applications(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-11.pdf,"Department of Mathematics, Hokkaido University",,"Honda,Tomoaki"
12,MILNOR NUMBERS FOR LOCALLY COMPLETE INTERSECTIONS WITH NON-ISOLATED SINGULARITIES(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-12.pdf,"Depart. de Maths., GETODIM(UPRES-A-54 C.N.R.S.), Universite de Montpellier II",,"LEHMANN,Daniel"
13,NOTE ON FLEX CURVES AND THEIR APPLICATIONS(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-13.pdf,"DEPARTMENT OF MATHEMATICS, TOKYO METROPOLITAN UNIVERSITY",,"OKA,MUTSUO"
14,REMARKS ON THE LOCAL GEOMETRY OF ANALYTIC MAPS(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-14.pdf,"TOKYO METROPOLITAN UNIVERSITY, DEPARTMENT OF MATHEMATICS",,"KWIECINSKI,MICHAL"
15,An Antomorphic Forms on the Expanded Symmetric Domain of Type IV Introductory Talk (Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-15.pdf,"Research Institute for Mathematical Sciences, Kyoto University",青木 宏樹,"Aoki, Hiroki"
16,Weierstrass type expression of curves of genus two and modular forms.(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-16.pdf,"[Research Institute for Mathematical Sciences, Kyoto University]",,"KOMATSU,Makoto"
17,CYCLIC QUOTIENT SURFACE SINGULARITIES : CONSTRUCTING THE ARTIN COMPONENT VIA THE MCKAY-QUIVER(Singularities and Complex Analytic Geometry),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1033-17.pdf,Math. Seminar der Universitat Hamburg,,"Riemenschneider, Oswald"
