No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Automorphic forms on type IV symmetric domains (Automorphic forms on type IV symmetric domains),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-01.pdf,東京大学数理科学研究科,織田  孝幸,"Oda, Takayuki"
2,松島-村上同型と簡約Lie群のコホモロジー的表現について (IV型対称領域上の保型形式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-02.pdf,東京大学数理科学研究科,森山  知則,"Moriyama, Tomonori"
3,"$SO_o(2, q)$のクラス1主系列表現に対する球関数について (IV型対称領域上の保型形式の研究)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-03.pdf,東京大学数理科学研究科,石井  卓,"Ishii, Taku"
4,AUTOMORPHIC GREEN FUNCTIONS ON ARITHMETIC QUOTIENTS OF TYPE IV SYMMETRIC DOMAIN (Automorphic forms on type IV symmetric domains),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-04.pdf,上智大学理工学部,都築  正男,"Tsuzuki, Masao"
5,THETA LIFTING OF NEARLY HOLOMORPHIC MODULAR FORM (Automorphic forms on type IV symmetric domains),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-05.pdf,京都大学総合人間学部,西山  享,"Nishiyama, Kyo"
6,IV型、Complex ballの算術商をモジュライ空間に持つ代数多様体の例について (IV型対称領域上の保型形式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-06.pdf,名古屋大学多元数理科学研究科,金銅  誠之,"Kondo, Shigeyuki"
7,CALABI-YAU超曲面、判別式、QUILLEN計量 (IV型対称領域上の保型形式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-07.pdf,東京大学数理科学研究科,吉川  謙一,"Yoshikawa, Ken-Ichi"
8,The family of $K3$ surfaces with a transcendental lattice $U(2)^2×<-2>^4$ for a general member (Automorphic forms on type IV symmetric domains),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-08.pdf,"ベルリン=フンボルト大学,千葉大学自然科学研究科","小池  健二,志賀  弘典","Koike, Kenji,Shiga, Hironori"
9,"$\mathbb{P}^1$×$\mathbb{P}^1$上の(1, 1)次曲線4本の配置について (IV型対称領域上の保型形式の研究)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-09.pdf,"名古屋大学多元数理科学研究科,ベルリン=フンボルト大学","落合  啓之,小池  健二","Ochiai, Hiroyuki,Koike, Kenji"
10,楕円保型関数$\lambda$の無限積表示 (IV型対称領域上の保型形式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-10.pdf,九州大学数理学研究科,吉田  正章,"Yoshida, Masaaki"
11,IV型領域上の正則保型形式とL関数 (IV型対称領域上の保型形式の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-11.pdf,"京都産業大学理学部,金沢大学理学部","村瀬  篤,菅野  孝志","Murase, Atsushi,Sugano, Takashi"
12,"$O(p, q)$の極小ユニタリ表現のシュレディンガーモデル (IV型対称領域上の保型形式の研究)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1342-12.pdf,京都大学数理解析研究所,小林  俊行,"Kobayashi, Toshiyuki"
