No.,title,link,Affiliation,Author in JPN,Author in ENG
1,POWERS AND COMMUTATIVITY OF SELFADJOINT OPERATORS,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-1.pdf,"Dept. of Math., Fukuoka University of Education",内山 充,"UCHIYAMA, MITSURU"
2,p-hyponormal作用素について(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-2.pdf,上越教育大学,,長 宗雄
3,作用素平均と指数積公式(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-3.pdf,茨城大学理学部,日合 文雄,"Hiai, Fumio"
4,the genertalized Numerical Range and its Boundary,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-4.pdf,"Faculty of Science, Hirosaki Univ.",中里 博,"Nakazato, Hiroshi"
5,二つの羃有界作用素に関する平均エルゴード定理(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-5.pdf,"千葉大学理学部,木更津高等専門学校","渚 勝,和田 州平","Nagisa, Masaru,Wada, Shuhei"
6,相対作用素エントロピーをめぐって(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-6.pdf,大阪教育大学,藤井 淳一,"Fujii, Jun Ichi"
7,シューア積作用素のノルム(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-7.pdf,北海道教育大学札幌校,大久保 和義,"Okubo, Kazuyoshi"
8,条件付期待値とアダマール積(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-8.pdf,茨城大学工学部,中本 律男,"Nakamoto, Ritsuo"
9,巾が負の古田不等式(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-9.pdf,東北薬科大学,棚橋 浩太郎,"Tanahashi, Kotaro"
10,Characterizations of operators satisfying chaotic order and its applications,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-10.pdf,東京理科大学理学部,古田 孝之,"Furuta, Takayuki"
11,正値対称な作用素商の自己共役拡張について(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-11.pdf,富山大学教育学部,泉野 佐一,"Izumino, Saichi"
12,Radical Banach L$^1$(G)-modulesの例(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-12.pdf,山形大学工学部,高橋 眞映,"Takahashi, Sin-Ei"
13,$C^\ast$-環とdualにおけるcompletely positive decomposition(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-13.pdf,群馬大学教育学部,伊藤 隆,"Itoh, Takashi"
14,非有界subnormal作用素について(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-14.pdf,九州芸術工科大学,太田 昇一,"Ota, Schoichi"
15,$\rho$-Dilationについて(作用素不等式とその周辺),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-15.pdf,山形大学理学部,,岡安 隆照
16,Two remarks on the subadditivity inequalities von Neumann algebras,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0903-16.pdf,"Research Institute of Mathematics and Mechanics, Kazan University",,"TIKHONOV, O.E."
