No.,title,link,Affiliation,Author in JPN,Author in ENG
1,非平衡定常系における不思議な相関 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-01.pdf,"京都大学大学院理学研究科,京都大学大学院理学研究科","伊丹 將人,佐々 真一","Itami,Masato,Sasa,Shin-ichi"
2,"2次元点渦系で, エネルギーを保存するFokker-Planck型衝突項 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-02.pdf,"静岡大学教育学部,核融合科学研究所,Laboratoire de Physique Theorique (IRSAMC), CNRS and UPS, Universite de Toulouse","八柳 祐一,羽鳥 尹承,Chavanis Pierre-Henri","YATSUYANAGI,YUICHI,HATORI,TADATSUGU,Chavanis,Pierre-Henri"
3,捩れ速度成分の乱流統計則 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-03.pdf,京都大学理学研究科物理学第一教室流体物理学研究室,松本 剛,"Matsumoto,Takeshi"
4,高レイノルズ数乱流中の強い渦の組織構造 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-04.pdf,名古屋大学大学院工学研究科,石原 卓,"Ishihara,Takashi"
5,時系列データに対する確率微分方程式モデルの統計的係数決定公式と軌道の予測可能性について (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-05.pdf,"東北大学原子分子材料科学高等研究機構,北海道大学理学研究院,東北大学理学研究科,一橋大学商学研究科","中野 直人,稲津 將,楠岡 誠一郎,齊木 吉隆","Nakano,Naoto,Inatsu,Masaru,Kusuoka,Seiichiro,Saiki,Yoshitaka"
6,不規則摂動系におけるカオス現象 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-06.pdf,京都大学情報学研究科,矢ヶ崎 一幸,"Yagasaki,Kazuyuki"
7,回転球面上の2次元Navier-Stokes方程式における帯状流の分岐 (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-07.pdf,"大阪大学大学院基礎工学研究科,京都大学数理解析研究所,京都大学数理解析研究所","佐々木 英一,竹広 真一,山田 道夫","Sasaki,Eiichi,Takehiro,Shin-ichi,Yamada,Michio"
8,ミニマル壁乱流の軌道不安定性について (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-08.pdf,"京都大学数理解析研究所,京都大学数理解析研究所,京都大学数理解析研究所","犬伏 正信,竹広 真一,山田 道夫","Inubushi,Masanobu,Takehiro,Shin-ichi,Yamada,Michio"
9,ひとつの乱流モデルの構築へ向けて (偏微分方程式の背後にある確率過程と解の族が示す統計力学的な現象の解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1919-09.pdf,明治大学理工学部数学科,名和 範人,"NAWA,Hayato"
