No.,title,link,Affiliation,Author in JPN,Author in ENG
1,On Hochschild Cohomology Rings of Group Algebras (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-1.pdf,東京理科大学理学研究科,速水  孝夫,"Hayami, Takao"
2,Eigenvalues and elementary divisors of Cartan matrices of finite groups (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-2.pdf,東京農工大学工学部,和田  倶幸,"Wada, Tomoyuki"
3,Crossed homomorphisms and the Schur-Zassenhaus theorem (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-3.pdf,"近畿大学理工学部,室蘭工業大学,室蘭工業大学,愛媛大学理学部","淺井  恒信,竹ヶ原  裕元,千吉良  直紀,庭崎  隆","Asai, Tsunenobu,Takegahara, Yugen,Chigira, Naoki,Niwasaki, Takashi"
4,Hochschild cohomology of an algebra associated with a circular quiver (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-4.pdf,"東京理科大学理学研究科,東京理科大学理学部","古谷  貴彦,眞田  克典","Furuya, Takahiko,Sanada, Katsunori"
5,微分次数つき可換代数の反復巡回的ホモロジー (有限群のコホモロジー論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-5.pdf,岡山理科大学理学部,栗林  勝彦,"Kuribayashi, Katsuhiko"
6,中心的$p$-群拡大である有限群のブロックについて (有限群のコホモロジー論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-6.pdf,千葉大学理学部,越谷  重夫,"Koshitani, Shigeo"
7,Examples of splendid equivalent blocks with non-abelian defect groups (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-7.pdf,愛知教育大学,[ク]刀  直子,"Kunugi, Naoko"
8,BROUE'S CONJECTURE FOR THE PRINCIPAL 5-BLOCK OF THE CHEVALLEY GROUP $G_2$(4) (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-8.pdf,"お茶の水女子大学理学部,千葉大学理学部","宇佐美  陽子,吉田  憲秀","Usami, Yoko,Yoshida, Norihide"
9,EQUIVALENCES BETWEEN BLOCKS OF ALTERNATING GROUPS (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-9.pdf,"Babes-Bolyai University, Faculty of Mathematics and Computer Science",,"Marcus, Andrei"
10,On rigidity of Coxeter groups (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-10.pdf,宇都宮大学教育学部,保坂  哲也,"Hosaka, Tetsuya"
11,COHOMOLOGY OF GROUPS HAVING 3-SYLOW SUBGROUPS ISOMORPHIC TO THE EXTRASPECIAL 3-GROUP (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-11.pdf,茨城大学教育学部,柳田  伸顕,"Yagita, Nobuaki"
12,Cohomology of Groups and Association Schemes (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-12.pdf,埼玉大学教育学部,飛田  明彦,"Hida, Akihiko"
13,On the Rothenberg-Steenrod spectral sequence for the mod 3 cohomology of the classifying space of the exceptional Lie group $E_8$ (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-13.pdf,"富山国際大学,Comenius大学物理学部","亀子  正喜,三村  護","Kameko, Masaki,Mimura, Mamoru"
14,Character Products of Association Schemes (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-14.pdf,信州大学理学部,花木  章秀,"Hanaki, Akihide"
15,HALL SUBGROUPS OF M-GROUPS NEED NOT BE M-GROUPS (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-15.pdf,群馬大学教育学部,福島  博,"Fukushima, Hiroshi"
16,巡回ブロックのカルタン行列の固有値について (有限群のコホモロジー論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-16.pdf,東京医科歯科大学教養学部,清田  正夫,"Kiyota, Masao"
17,SOME DEGENERATE UNIPOTENT BLOCKS (Cohomology Theory of Finite Groups and Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-17.pdf,名古屋大学多元数理科学研究科,宮地  兵衛,"Miyachi, Hyohe"
18,ブロックイデアルのコホモロジー環 (有限群のコホモロジー論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-18.pdf,愛媛大学理学部,佐々木  洋城,"Sasaki, Hiroki"
19,Brauer対応とブロックコホモロジー環について (有限群のコホモロジー論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1357-19.pdf,崇城大学工学部,河合  浩明,"Kawai, Hiroaki"
