No.,title,link,Affiliation,Author in JPN,Author in ENG
1,中山の予想について(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-01.pdf,筑波大学数学系,星野 光男,"Hoshino, Mitsuo"
2,Derived Category と Stable Equivalence(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-02.pdf,上武大学経営情報学部,若松 隆義,"Wakamatsu, Takayoshi"
3,拡大の同型類の個数について(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-03.pdf,大阪市立大学理学部,浅芝 秀人,"Asashiba, Hideto"
4,次元列で決まる多元環について(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-04.pdf,山梨大学教育学部,佐藤 眞久,"Sato, Masahisa"
5,"An, Dn型 quiver の表現の退化(環の表現とDuality)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-05.pdf,北海道大学理学部,丹原 大介,"Tambara, Daisuke"
6,On the Loewy structure of the projective indecomposable modules for the group $\Gamma (3^3)$(Representations of Rings and Duality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-06.pdf,信州大学教養学部,二宮 晏,"Ninomiya, Yasushi"
7,Clifford理論と群環上のAuslander-Reiten列のvertices(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-07.pdf,大阪大学理学部,宇野 勝博,"Uno, Katsuhiro"
8,"Rings with only finitely many isomorphism classes of indecomposable maximal Buchsbaum modules, II (Representations of Rings and Duality)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-08.pdf,日本大学文理学部,後藤 四郎,"Goto, Shiro"
9,トーラスによる不変式環の表現型(環の表現とDuality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-09.pdf,名古屋大学理学部,吉野 雄二,"Yoshino, Yuji"
10,DERIVATIONS IN MATRIX SUBRINGS(Representations of Rings and Duality),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-10.pdf,"Institute of Mathematics, Copernicus University",,"NOWICKI, Andrzej"
11,"(B, $\rho$) - separable closures について(環の表現とDuality)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0628-11.pdf,岡山大学理学部,永原 賢,"Nagahara, Takasi"
