No.,title,link,Affiliation,Author in JPN,Author in ENG
1,18世紀前半における力学の発展と流体力学の誕生 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-01.pdf,京都大学大学院文学研究科,伊藤 和行,"Ito,Kazuyuki"
2,"黎明期の変分力学 : モーペルテュイ, オイラー, ラグランジュと最小作用の原理 (オイラー方程式の数理 : 力学と変分原理250年)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-02.pdf,日本学術振興会特別研究員PD・京都大学大学院文学研究科,有賀 暢迪,"ARIGA,Nobumichi"
3,完全流体の変分法における Clebsch potential について (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-03.pdf,"慶應大学基礎理工学部,慶應大学基礎理工学部","深川 宏樹,藤谷 洋平","FUKAGAWA,Hiroki,FUJITANI,Youhei"
4,2次元点渦系での粒子性に基づく散逸効果 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-04.pdf,"静岡大学教育学部,神奈川大学理学部","八柳 祐一,羽鳥 尹承","YATSUYANAGI,YUICHI,HATORI,TADATSUGU"
5,"流体 Euler 方程式, Yang-Mills 方程式の渦表示と Clebsch variable およびHelicity について (オイラー方程式の数理 : 力学と変分原理250年)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-05.pdf,早稲田大学理工学部,郡 敏昭,"Kori,Tosiaki"
6,電磁流体方程式の変分原理に基づいた非線形モード間相互作用の定式化 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-06.pdf,日本原子力研究開発機構那珂核融合研究所,廣田 真,"Hirota,Makoto"
7,完全流体の変分原理と流体マクスウェル方程式 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-07.pdf,東京大学(元),神部 勉,"KAMBE,Tsutomu"
8,凝縮効果に基づく(時)空間の物理的創発 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-08.pdf,京都大学数理解析研究所,小嶋 泉,"Ojima,Izumi"
9,熱対向流量子乱流の数値解析 : 量子渦の再結合の統計的性質 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-09.pdf,大阪市立大学院理学研究科,足立 洋之,"Adachi,Hiroyuki"
10,振動物体による量子流体の不安定性と量子渦の運動 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-10.pdf,大阪市立大学理学研究科,藤本 和也,"Fujimoto,Kazuya"
11,2成分ボース・アインシュタイン凝縮体における対向超流動の不安定性 (オイラー方程式の数理 : 力学と変分原理250年),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1749-11.pdf,大阪市立大学院理学研究科,石野 隼伍,"Ishino,Syungo"
