No.,title,link,Affiliation,Author in JPN,Author in ENG
1,最近のEdward G. Effrosの仕事について (作用素環研究会報告集),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0009-01.pdf,東北大学,竹崎 正道,"TAKESAKI,MASAMICHI"
2,J. Glimmの研究について : Smooth dualをめぐる話題 (作用素環研究会報告集),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0009-02.pdf,山形大学,富山 淳,"TOMIYAMA,JUN"
3,作用素環の束論的研究 (作用素環研究会報告集),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0009-03.pdf,愛媛大学文理学部,前田 周一郎,"MAEDA,SHUICHIRO"
4,"場の量子論への応用におけるニ,三のトピツク (作用素環研究会報告集)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0009-04.pdf,京都大学,荒木 不二洋,"ARAKI,HUZIHIRO"
