No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Box-ball systems and Robinson-Schensted-Knuth correspondence (Combinatorial Aspect of Integrable Systems),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-1.pdf,神戸大学自然科学研究科,福田  香保理,"Fukuda, Kaori"
2,Path Model for a Level-Zero Extremal Weight Module over a Quantum Affine Algebra (Combinatorial Aspect of Integrable Systems),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-2.pdf,"筑波大学数学系,筑波大学数学系","佐垣  大輔,内藤  聡","Sagaki, Daisuke,Naito, Satoshi"
3,Notes on the $X=M=K$ conjecture (Combinatorial Aspect of Integrable Systems),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-3.pdf,Virginia Tech.,,"Shimozono, Mark"
4,Tropical Affine Crystals (Combinatorial Aspect of Integrable Systems),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-4.pdf,上智大学理工学部数学,中島  俊樹,"Nakashima, Toshiki"
5,Tropical $R$ : 例と応用 (可積分系の組合せ論的側面),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-5.pdf,"東京大学総合文化研究科,大阪大学基礎工学研究科,防衛大学校応用物理学科,神戸大学理学部","国場  敦夫,尾角  正人,高木  太一郎,山田  泰彦","Kuniba, Atsuo,Okado, Masato,Takagi, Taichiro,Yamada, Yasuhiko"
6,"The link among classical, quantum and combinatorial integrable dynamical systems (Combinatorial Aspect of Integrable Systems)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-6.pdf,京都大学数理解析研究所,井上  玲,"Inoue, Rei"
7,"A SIMPLE INTRODUCTION TO CRYSTALS $B^{2, s}$ FOR KIRILLOV-RESHETIKHIN MODULES OF TYPE $D^{(1)}_n$ (Combinatorial Aspect of Integrable Systems)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1429-7.pdf,"Department of Mathematics, University of California,Department of Mathematics, University of California",",","Schilling, Anne,Sternberg, Philip"
