No.,title,link,Affiliation,Author in JPN,Author in ENG
1,壁面を流れる流体膜に生ずる表面波の理論(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-01.pdf,東京大学工学部,仲矢 長次,"Nakaya, Choji"
2,"二次元jet, wakeにおける攪乱の非線形相互作用(乱流場の特異性と統計理論)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-02.pdf,"日本原子力研究所,岡山大学工学部,相模工業大学","藤村 薫,柳瀬 真一郎,水島 二郎","FUJIMURA, Kaoru,YANASE, Shinichiro,MIZUSHIMA, Jiro"
3,Three-wave-equation の可積分性と complex t-plane上の singularity の構造について(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-03.pdf,東京大学理学部,木村 芳文,"Kimura, Yoshifumi"
4,3次元渦運動のギ正準形式とヴォートン解析(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-04.pdf,名古屋大学工学部,桑原 真二,"Kuwabara, Sinzi"
5,回転同心円筒間の前乱流状態(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-05.pdf,電気通信大学,大路 通雄,"Ohji, Michio"
6,ナヴィエ=ストークス方程式の特異性と乱流の小規模構造(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-06.pdf,中央大学理工学部物理学科,,中野 徹
7,A Note on the Modified Zero-Fourth-Order Cumulant Approximation(Singularity and Statistical Theory of Turbulence),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-07.pdf,名古屋大学理学部,谷内 俊弥,"Taniuti, Tosiya"
8,一様等方性乱流における因子化キュムラント展開法(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-08.pdf,"京都大学理学部物理学科,京都大学理学部物理学科,京都大学理学部物理学科","巽 友正,山田 道夫,武井 利文","Tatsumi, Tomomasa,Yamada, Michio,Takei, Toshifumi"
9,2次元乱流の数値シミュレーション(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-09.pdf,"京都大学数理解析研究所,京都大学理学部物理学科,京都大学理学部物理学科","木田 重雄,山田 道夫,大木谷 耕司","Kida, Shigeo,Yamada, Michio,Ohkitani, Koji"
10,三次元乱流の数値シミュレーション(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-10.pdf,"京都大学数理解析研究所,京都大学理学部物理学科","木田 重雄,村上 洋一","Kida, Shigeo,Murakami, Youichi"
11,Channel flowの LES について(乱流場の特異性と統計理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0606-11.pdf,東京大学生産技術研究所,堀内 潔,"Horiuti, Kiyosi"
