No.,title,link,Affiliation,Author in JPN,Author in ENG
1,函数体上のディオファントス幾何 (幾何学的モデル理論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-1.pdf,京都大学理学研究科数学教室,森脇 淳,"Moriwaki,Atsushi"
2,Hrushovski's New Proof of Manin-Mumford Conjecture (Model theory via geometric approach),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-2.pdf,東海大学理学部情報数理学科,板井 昌典,"Itai,Masanori"
3,ACFAとManin-Mumford予想 (幾何学的モデル理論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-3.pdf,東海大学理学部情報数理学科,桔梗 宏孝,"Kikyo,Hirotaka"
4,Model theory of quasi-minimal structures (Model theory via geometric approach),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-4.pdf,東海大学理学部情報数理学科,若井 健太郎,"Wakai,Kentaro"
5,Constructing Saturated Quasi-minimal Structures (Model theory via geometric approach),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-5.pdf,筑波大学数学系,坪井 明人,"Tsuboi,Akito"
6,Nesinの問題について (幾何学的モデル理論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-6.pdf,岡山大学理学部数学教室,田中 克巳,"Tanaka,Katsumi"
7,Lascar群による超仮想元の特徴づけに関して (幾何学的モデル理論の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-7.pdf,東京大学数理科学研究科,玉江 伸成,"Tamae,Nobuaki"
8,A Remark on Generic Pseudoplanes (Model theory via geometric approach),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1283-8.pdf,豊田工業高等専門学校,池田 宏一郎,"Ikeda,Koichiro"
