No.,title,link,Affiliation,Author in JPN,Author in ENG
1,ON THE SMOOTH UNKNOTTING CONJECTURE IN DIMENSION FOUR (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-01.pdf,広島大学,松本 堯生,"MATUMOTO,TAKAO"
2,ON REGION UNKNOTTING NUMBERS (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-02.pdf,大阪市立大学数学研究所,清水 理佳,"SHIMIZU,AYAKA"
3,The optimistic limit of the colored Jones polynomial and the volume calculation (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-03.pdf,早稲田大学理工学術院,,"CHO,JINSEOK"
4,QUANDLE COCYCLE INVARIANTS OF ROLL-SPUN KNOTS (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-04.pdf,"佐賀大学理工学部,神戸大学理学研究科","岩切 雅英,佐藤 進","IWAKIRI,MASAHIDE,SATOH,SHIN"
5,Torus-covering links and their triple linking numbers (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-05.pdf,京都大学数理解析研究所,中村 伊南沙,"Nakamura,Inasa"
6,On the Kashaev invariant of twist knots (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-06.pdf,首都大学東京理工学研究科,横田 佳之,"Yokota,Yoshiyuki"
7,Asymptotics of spin networks (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-07.pdf,UC Berkeley,,"Veen,Roland van der"
8,A quandle cocycle invariant with non-commutative flows for a handlebody-knot (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-08.pdf,筑波大学数理物質科学研究科,石井 敦,"Ishii,Atsushi"
9,Pallets and coloring invariants for spatial graphs (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-09.pdf,日本女子大学理学部,大城 佳奈子,"Oshiro,Kanako"
10,On diffeomorphisms over non-orientable surfaces embedded in the 4-sphere (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-10.pdf,東京理科大学理工学部数学科,廣瀬 進,"Hirose,Susumu"
11,EXCEPTIONAL SURGERIES ON COMPONENTS OF TWO-BRIDGE LINKS (Intelligence of Low-dimensional Topology),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-11.pdf,日本大学文理学部,市原 一裕,"Ichihara,Kazuhiro"
12,"Problems on Low-dimensional Topology, 2011 (Intelligence of Low-dimensional Topology)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1766-12.pdf,京都大学数理解析研究所,大槻 知忠[編],"Ohtsuki,Tomotada"
