No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Asymptotic distribution of the distance-based classifier under a strongly spiked eigenvalue model (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-01.pdf,東京理科大学情報科学科,石井 晶,"Ishii,Aki"
2,Asymptotic properties of support vector machines in HDLSS settings (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-02.pdf,"筑波大学数理物質科学研究科,筑波大学数理物質系,筑波大学数理物質系","中山 優吾,矢田 和善,青嶋 誠","Nakayama,Yugo,Yata,Kazuyoshi,Aoshima,Makoto"
3,高次元固有ベクトルの一致性 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-03.pdf,"筑波大学数理物質系,筑波大学数理物質系","矢田 和善,青嶋 誠","Yata,Kazuyoshi,Aoshima,Makoto"
4,スパースな統計モデルの周辺尤度に対する漸近展開について (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-04.pdf,高崎経済大学経済学部,宮田 庸一,"Miyata,Yoichi"
5,一般化推定方程式による解析における変数選択規準 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-05.pdf,"広島大学理学研究科数学専攻,広島大学理学研究科数学専攻","佐藤 倫治,稲津 佑","Sato,Tomoharu,Inatsu,Yu"
6,Comparison of two robust Bayes estimations using the divergence under heavy contamination (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-06.pdf,"広島大学大学院理学研究科数学専攻,広島大学大学院理学研究科数学専攻","中川 智之,橋本 真太郎","Nakagawa,Tomoyuki,Hashimoto,Shintaro"
7,Robust estimation of location and scale parameters for skew-normal distribution using log-Pareto function (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-07.pdf,広島大学理学研究科,橋本 真太郎,"Hashimoto,Shintaro"
8,$\alpha$-ダイバージェンス損失の下でのStein現象 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-08.pdf,九州大学経済学研究院,大西 俊郎,"Ohnishi,Toshio"
9,尤度法はベイズ法無き里の蝙蝠か (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-09.pdf,統計数理研究所,柳本 武美,"Yanagimoto,Takemi"
10,二標本指数分布における三段階信頼区間問題 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-10.pdf,"新潟大学理学部,秋田大学教育文化学部","磯貝 英一,宇野 力","Isogai,Eiichi,Uno,Chikara"
11,異なったGMANOVAモデルにおける最小重み付き残差平方和の差の分布系 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-11.pdf,"広島大学理学研究科数学専攻,広島大学理学研究科数学専攻","小田 凌也,柳原 宏和","Oda,Ryoya,Yanagihara,Hirokazu"
12,Minimization Algorithm of Model Selection Criterion for Optimizing Tuning Parameter in Lasso Estimator When Explanatory Variables are Orthogonal (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-12.pdf,"広島大学理学研究科数学専攻,広島大学理学研究科数学専攻","大石 峰暉,柳原 宏和","Ohishi,Mineaki,Yanagihara,Hirokazu"
13,離散確率分布におけるKullback情報量の直和分解 (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-13.pdf,関東学院大学経済学部,布能 英一郎,"Funo,Eiichiro"
14,exponential-symmetry and power-symmetry (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-14.pdf,"筑波大学大学院数理物質科学研究科,筑波大学数理物質系","石原 隆佑,小池 健一","Ishihara,Ryusuke,Koike,Ken-ichi"
15,Asymptotic comparison between the maximum likelihood estimator and Bayes estimator for a certain truncated exponential family (Bayes Inference and Its Related Topics),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2047-15.pdf,筑波大学,赤平 昌文,"Akahira,Masafumi"
