No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Birkhoff normal form of Hamiltonian systems and WKB-type formal solutions,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-1.pdf,京都大学数理解析研究所,竹井  義次,"Takei, Yoshitsugu"
2,Exact WKB analysis for Schrodinger equations with periodic potentials,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-2.pdf,京都大学数理解析研究所,小池  達也,"Koike, Tatsuya"
3,Stokes geometry of Painleve equations with a large parameter,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-3.pdf,近畿大学理工学部,青木  貴史,"Aoki, Takashi"
4,Asymptotic analysis of the modified Bessel function with respect to the parameter,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-4.pdf,上智大学理工学部,内山  康一,"Uchiyama, Koichi"
5,ON THE COMPUTATION OF STOKES MULTIPLIERS VIA HYPERASYMPTOTICS,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-5.pdf,"Department of Mathematics and Statistics, King's Buildings, University of Edinburgh",,"Daalhuis, A.B. Olde"
6,非線型特異1階偏微分方程式と有理形係数の形式解 (Resurgent Functionsと合成積方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-6.pdf,千葉工業大学工学部数学教室,山根  英司,"Yamane, Hideshi"
7,Overconvergence Phenomena For Generalized Dirichlet Series,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-7.pdf,"Department of Mathematical Sciences, George Mason University",,"Struppa, Daniele C."
8,The Continuation of Holomorphic Solutions for Convolution Equations in Complex Domains,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-8.pdf,"千葉大学理学部,千葉大学自然科学研究科,千葉大学理学部","石村  隆一,岡田  純一,岡田  靖則","Ishimura, Ryuichi,Okada, Jun-ichi,Okada, Yasunori"
9,Examples of convolution equations in tube domains,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1088-9.pdf,"千葉大学理学部,千葉大学理学部","石村  隆一,岡田  靖則","Ishimura, Ryuichi,Okada, Yasunori"
