No.,title,link,Affiliation,Author in JPN,Author in ENG
1,CRYSTAL BASES AND TWINING CHARACTERS (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-1.pdf,"筑波大学数学研究科,筑波大学数学系","佐垣 大輔,内藤 聡","Sagaki,Daisuke,Naito,Satoshi"
2,On determinant-type operators for orthogonal Lie algebras (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-2.pdf,拓殖大学工学部,織田 寛,"Oda,Hiroshi"
3,On the classification of R-operators (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-3.pdf,北海道大学理学部数学科,渋川 陽一,"Shibukawa,Youichi"
4,退化affine Hecke代数の主系列表現について (新世紀への表現論と調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-4.pdf,東京大学数理科学研究科,本田 龍央,"Honda,Tatsuo"
5,Intersection numbers of loaded (twisted) cycles and the correlation functions of the conformal field theory (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-5.pdf,"東京工業大学理学部,九州大学数理学研究院","三町 勝久,吉田 正章","Mimachi,Katsuhisa,Yoshida,Masaaki"
6,表現の制限と微分作用素 (新世紀への表現論と調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-6.pdf,近畿大学九州工学部,藤原 英徳,"Fujiwara,Hidenori"
7,等質Siegel領域のShilov境界上の調和解析 (新世紀への表現論と調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-7.pdf,横浜市立大学理学部,伊師 英之,"Ishi,Hideyuki"
8,等質Siegel領域のPoisson核とCayley変換の幾何学的関係 (新世紀への表現論と調和解析),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-8.pdf,京都大学理学研究科,野村 隆昭,"Nomura,Takaaki"
9,Multiresolution Analysis with Lattice Basis (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-9.pdf,,麻生 康弘,"Asoo,Yasuhiro"
10,The Cowling-Price theorem for semisimple Lie groups (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-10.pdf,"広島大学理学研究科,広島大学総合科学部,放送大学,尾道大学","江端 満彦,江口 正晃,熊原 啓作,小泉 伸","Ebata,Mitsuhiko,Eguchi,Masaaki,Kumahara,Keisaku,Koizumi,Shin"
11,"$\Mathbb{Z}_4$-graded Lie環の巾零軌道とdual pair $(U(p,q),U(r,s))のmoment mapの幾何 (新世紀への表現論と調和解析)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-11.pdf,東京電気大学工学部,太田 琢也,"Ohta,Takuya"
12,"SPHERICAL NILPOTENT ORBITS FOR SYMMETRIC PAIRS : THE CASE OF $U(p,p)$ (Representation Theory and Harmonic Analysis toward the New Century)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-12.pdf,京都大学総合人間学部,西山 亨,"Nishiyama,Kyo"
13,TWISTED RADON TRANSFORMS ON GRASSMANN MANIFOLDS (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-13.pdf,東京大学数理科学研究科,大島 利雄,"Oshima,Toshio"
14,Asymptotic problems in representation theory (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-14.pdf,九州大学数理学府,木本 一史,"Kimoto,Kazufumi"
15,Invariant multipliers (Representation Theory and Harmonic Analysis toward the New Century),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1245-15.pdf,東京大学数理科学研究科,,"Nilsson,Andreas"
