No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Topological Analogue in Graph Theory,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-01.pdf,東京工業大学理学部,根上 生也,"NEGAMI, Seiya"
2,On Graphs and Ball Coverings of 3-Manifolds,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-02.pdf,相模工業大学,津久井 康之,"Tsukui, Yasuyuki"
3,D-変形について II(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-03.pdf,東洋大学工学部,山下 正勝,"Yamashita, Masakatsu"
4,結び目理論に現われるグラフについて(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-04.pdf,東京女子大学理学部,小林 一章,"Kobayashi, Kazuaki"
5,Links and Their Graphs,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-05.pdf,"早稲田大学教育学部,東海大学理学部","鈴木 晋一,近藤 久子","Suzuki, Shin'ichi,Kondo, Hisako"
6,The additivity of the clasp singularities,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-06.pdf,神戸大学理学部,森元 勘治,"Morimoto, Kanji"
7,アルフ不変量とTジーナス(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-07.pdf,大阪市立大学理学部,杉下 幸司,"Sugisita, Kouji"
8,Two-bridge knots with unknotting number one,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-08.pdf,"大阪市立大学理学部,九州大学理学部","村上 斉,金信 泰造","Murakami, Hitoshi,Kanenobu, Taizo"
9,Matrices which are knot module matrices,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-09.pdf,大阪市立大学理学部,,"PIZER, Adrian"
10,Tangle と 2-variable polynomial(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-10.pdf,北海道大学理学部,児玉 宏児,"Kodama, Kouzi"
11,Pretzel link の Hoste polynomial(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-11.pdf,東京女子大学文理学部,清 裕恵,"Kiyoshi, Hiroe"
12,$\delta$-polynomial of decomposable links,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-12.pdf,大阪工業大学,渋谷 哲夫,"Shibuya, Tetsuo"
13,Knots と immersed disks(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-13.pdf,佐賀大学,丸本 嘉彦,"Marumoto, Yoshihiko"
14,Scharlemannの定理について(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-14.pdf,広島大学理学部,関根 光弘,"Sekine, Mituhiro"
15,Fibered 2-knots and Thurston Norm,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-15.pdf,東京大学理学部,斎藤 昌彦,"Saito, Masahico"
16,Degeneration of geometric structures on Seifert fibered manifolds,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-16.pdf,東京都立大学理学部,大鹿 健一,"Ohshika, Ken'ichi"
17,Geodesic Knots in a Hyperbolic 3-mfd,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-17.pdf,"津田塾大学,日本大学",酒井 健,"Sakai, T."
18,ある種の表現からのhyperbolic 3-orbifoldsの構成(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-18.pdf,九州工業大学,相馬 輝彦,"Soma, Teruhiko"
19,基本群で分類できる3-branchfoldの或るclass(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-19.pdf,九州大学理学部,竹内 義浩,"Takeuchi, Yoshihiro"
20,三次元開多様体の芯(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-20.pdf,広島大学理学部,垣水 修,"Kakimizu, Osamu"
21,Haken多様体のHeegaard分解とtorus分解(グラフ理論と3次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0575-21.pdf,大阪大学理学部,小林 毅,"Kobayashi, Tsuyoshi"
