No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Vector-Valued Hyperfunctions (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-01.pdf,"京都大学数理解析研究所,京都大学数理解析研究所",",","ION,PATRICK D.F.,KAWAI,TAKAHIRO"
2,コホモロジー的境界値に対する位相的考察 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-02.pdf,東京大学教養学部,金子 晃,"KANEKO,AKIRA"
3,双曲型方程式の基本解のミクロ解析性 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-03.pdf,京都大学数理解析研究所,三輪 哲二,"MIWA,TETSUJI"
4,Theory of Differential Equations with Regular Singularity and Eigen-Functions of Laplacian of Symmetric Spaces (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-04.pdf,京都大学数理解析研究所,柏原 正樹,"KASHIWARA,MASAKI"
5,隠された境界条件 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-05.pdf,"京都大学数理解析研究所,京都大学数理解析研究所","柏原 正樹,河合 隆裕","KASHIWARA,MASAKI,KAWAI,TAKAHIRO"
6,Hypo-Elliptic Pseudo-Differential Operators with Double Characteristics (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-06.pdf,東京工業大学理学部,平良 和昭,"TAIRA,KAZUAKI"
7,局所解の存在に関する注意 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-07.pdf,東京都立大学理学部,大内 忠,"OUCHI,SUNAO"
8,Riemann多様体上の乱歩 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-08.pdf,名古屋大学理学部,砂田 利一,"SUNADA,TOSHIKAZU"
9,コホモロジー群の有限性と消滅 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-09.pdf,京都大学数理解析研究所,河合 隆裕,"KAWAI,TAKAHIRO"
10,対称空間上の境界値問題について (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-10.pdf,"広島大学理学部,広島大学理学部","岡本 清郷,峰村 勝弘","OKAMOTO,KIYOSATO,MINEMURA,KATSUHIRO"
11,Discrete Seriesとある種の楕円型作用素 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-11.pdf,広島大学理学部,堀田 良之,"HOTTA,RYOSHI"
12,Kahler Geometryのまわりの2つの話題 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-12.pdf,名古屋大学理学部,森川 寿,"MORIKAWA,HISASHI"
13,微分形式の特異点について (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-13.pdf,東京大学理学部,大島 利雄,"OSHIMA,TOSHIO"
14,ニ独立変数包合的偏微分方程式系の求積法 : Darbouxの方法の拡張 (超函数と線型微分方程式 III),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0227-14.pdf,立教大学理学部,垣江 邦夫,"KAKIE,KUNIO"
