No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Integral transforms for $\mathcal{D}$-modules and homogeneous manifolds (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-1.pdf,"Dipartimento di Matematica Pura ed Applicata, Universita degli studi di Padova",,"Marastoni, Corrado"
2,FOURIER TRANSFORMS AND DUALITY IN HYPERFUNCTIONS (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-2.pdf,"University of Bologna, Department of Mathematics",,"Liess, Otto"
3,Recent results on the Index Theorem (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-3.pdf,"Institut de Mathematiques, Analyse Algebrique, Universite Pierre et Marie Curie",,"Schapira, Pierre"
4,SOME APPROXIMATIONS ON $L^1$($\mathbb{R}^n$) (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-4.pdf,熊本大学自然科学研究科,神本  丈,"Kamimoto, Joe"
5,Lagrangian properties for the diffraction in the complex domain (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-5.pdf,University of Liege,,"Laubin, Pascal"
6,CAUCHY PROBLEMS FOR MIXED-TYPE OPERATORS (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-6.pdf,防衛大学校,打越  敬祐,"Uchikoshi, Keisuke"
7,A dependence domain for a class of microdifferential operators with involutive double characteristics (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-7.pdf,"千葉大学理学部,慶応大学経済学部","岡田  靖則,戸瀬  信之","Okada, Yasunori,Tose, Nobuyuki"
8,SOLVABILITY OF A CLASS OF DIFFERENTIAL OPERATORS IN $\mathcal{CO}$ (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-8.pdf,"東京大学数理科学研究科,東京大学数理科学研究科","船越  正太,片岡  清臣","Funakoshi, Shota,Kataoka, Kiyoomi"
9,A Survey of Removable Singularities in the Theory of Linear Differential Equations (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-9.pdf,大阪大学理学研究科,内田  素夫,"Uchida, Motoo"
10,HIGHER-CODIMENSIONAL BOUNDARY VALUE PROBLEMS AND $F$-MILD MICROFUNCTIONS : LOCAL AND MICROLOCAL UNIQUENESS (Complex Analysis and Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1090-10.pdf,"横浜市立大学理学部,東京大学数理科学研究科","大阿久  俊則,山崎  晋","Oaku, Toshinori,Yamazaki, Susumu"
