No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Decay estimates for the solutions of the system of crystal acoustics for cubic crystals (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-1.pdf,"University of Bologna, Department of Mathematics",,"Liess, Otto"
2,"Second Microlocalization, Regular Sequences, and Fourier Inverse Transforms (Recent Trends in Microlocal Analysis)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-2.pdf,",千葉大学理学部,慶應義塾大学経済学部",",岡田  靖則,戸瀬  信之","Liess, Otto,Okada, Yasunori,Tose, Nobuyuki"
3,C.H. LEE'S RESULTS ON EXPONENTIAL CALCULUS OF MINIMUM TYPE PSEUDODIFFERENTIAL OPERATORS AND THEIR APPLICATION TO MICROLOCAL ENERGY METHODS (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-3.pdf,東京大学数理科学研究科,片岡  清臣,"Kataoka, Kiyoomi"
4,NON EXISTENCE OF TWISTED WAVE EQUATIONS (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-4.pdf,"Universita di Padova, Dip. di matematica pura ed applicata,Universite Pierre et Marie Curie, Institut de mathematiques",",","D'Agnolo, Andrea,Schapira, Pierre"
5,Singular Cauchy problems for nonlinear equations (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-5.pdf,防衛大学校,打越  敬祐,"Uchikoshi, Keisuke"
6,HORMANDER FORM AND UNIQUENESS FOR THE CAUCHY PROBLEM (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-6.pdf,大阪大学理学研究科,内田  素夫,"Uchida, Motoo"
7,On Hyperfunction Solutions to Fuchsian hyperbolic Systems (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-7.pdf,日本大学理工学部一般教育,山崎  晋,"Yamazaki, Susumu"
8,Symbolic construction of the fundamental solution and local index (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-8.pdf,姫路工業大学理学研究科,岩崎  千里,"Iwasaki, Chisato"
9,A viewpoint on positivity of pseudodifferential operators from the Wick calculus (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-9.pdf,"レンヌ大学,京都大学人間・環境学研究科","レルナー  ニコラス,森本  芳則","Lerner, Nicolas,Morimoto, Yoshinori"
10,GLOBAL $L^2$-BOUNDEDNESS THEOREMS FOR A CLASS OF FOURIER INTEGRAL OPERATORS AND THEIR APPLICATION (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-10.pdf,大阪大学理学研究科,杉本  充,"Sugimoto, Mitsuru"
11,APPROXIMATION FOR RECONSTRUCTION OF HOMOGENEOUS OBJECTS IN THE PLANE FROM THEIR TWO PROJECTIONS (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-11.pdf,防衛大学校,滝口  孝志,"Takiguchi, Takashi"
12,Distributions of exponential growth with support in a proper convex cone (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-12.pdf,上智大学理工学研究科数学専攻,諏訪  将範,"Suwa, Masanori"
13,フーリエ積分と調和関数の境界値 (超局所解析の展望),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-13.pdf,関西学院大学物理学科,山根  英司,"Yamane, Hideshi"
14,A ZETA FUNCTION ASSOCIATED WITH THE BERGMAN KERNEL (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-14.pdf,東京大学数理科学研究科,平地  健吾,"Hirachi, Kengo"
15,NEWTON POLYHEDRA AND THE BOUNDARY BEHAVIOR OF THE BERGMAN KERNEL (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-15.pdf,九州大学数理学研究院,神本  丈,"Kamimoto, Joe"
16,Multiple zeta values and connection formulas of Gauss's hypergeometric functions (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-16.pdf,"近畿大学理工学部,近畿大学理工学部","青木  貴史,大野  泰生","Aoki, Takashi,Ohno, Yasuo"
17,Power series solutions of the inhomogeneous heat equation (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-17.pdf,"Abteilung Angewandte Analysis, Universitat Ulm",,"Balser, Werner"
18,ON THE HOLOMORPHIC SOLUTION OF NONLINEAR FIRST ORDER EQUATIONS WITH SEVERAL SPACE VARIABLES (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-18.pdf,"Dept. of Mathematics, Univ. of the Philippines",,"Lope, Jose Ernie C."
19,Normal forms of some vector fields by transformations with Borel summable functions (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-19.pdf,上智大学理工学部,大内  忠,"Ouchi, Sunao"
20,New Stokes curves of higher order Painleve equations (I) (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-20.pdf,京都大学数理解析研究所,西川  享宏,"Nishikawa, Yukihiro"
21,零次元代数的局所コホモロジー類に付随するホロノミック系の構成アルゴリズム (超局所解析の展望),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-21.pdf,"新潟大学工学部情報工学科,お茶の水女子大学大学院","田島  慎一,中村  弥生","Tajima, Shinichi,Nakamura, Yayoi"
22,Minimal filtered free resolutions for analytic $D$-modules : Extended abstract (Recent Trends in Microlocal Analysis),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1412-22.pdf,",東京女子大学文理学部",",大阿久  俊則","Granger, Michel,Oaku, Toshinori"
