No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Note on Shape Theory (II) : Problems (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-01.pdf,筑波大学数学系,児玉 之宏,"KODAMA,YUKIHIRO"
2,ShapeにおけるLusternik-SchnirelmannのCategoryについて (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-02.pdf,山口大学教育学部,渡辺 正,"WATANABE,TADASHI"
3,Proper Maps Modulo CE-Maps between ANR's (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-03.pdf,東京学芸大学,細川 洋,"HOSOKAWA,HIROSHI"
4,連続体とShapeについて (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-04.pdf,大阪教育大学,小山 晃,"KOYAMA,AKIRA"
5,Monotone写像について (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-05.pdf,香川大学教育学部,酒井 克郎,"SAKAI,KATSURO"
6,On Certain Nor-Continuous Functions and Shape (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-06.pdf,香川大学教育学部,深石 博夫,"FUKAISHI,HIROO"
7,Embedding Theorems in Shape Theory (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-07.pdf,静岡大学教養部,小野 仁,"ONO,JIN"
8,Supplement to Free L-Spaces (Shapeと無限次元多様体),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0342-08.pdf,愛媛大学理学部,永見 啓応,"NAGAMI,KEIO"
