No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Surjective Morphisms of Holomorphic Vector Bundles (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-01.pdf,Universite de Paris,,"SKODA,H."
2,Non-Existence of Bounded Functions on the Universal Covering of {$P^n$-n+2 Hyperplanes in General Position}(n>2) (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-02.pdf,"Department of Mathematics, Tokyo University of Agriculture and Technology",,"WAKABAYASHI,ISAO"
3,Some Open Problems in the Study of Noncompact Kahler Manifolds (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-03.pdf,"University of California, Berkeley",,"WU,H."
4,Families of Linear Systems on Projective Manifolds (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-04.pdf,Tohoku University,,"NAMBA,MAKOTO"
5,開リーマン面の動きについて (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-05.pdf,滋賀大学教育学部,山口 博史,"YAMAGUCHI,HIROSHI"
6,Brody's Method in Value Distribution Theory (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-06.pdf,"University of California, Los Angeles",,"GREEN,Mark L."
7,Riemann-Hilbert Problem and Its Application to Analytic Functions of Several Complex Variables (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-07.pdf,"Department of Mathematics, Faculty of Science and Technology, Sophia University",,"KITA,MICHITAKA"
8,Some Geometric Properties of Compact Complex Manifolds Uniformized by Bounded Domains in $\mathbb{C}^n$ (Geometric Theory of Several Complex Variables),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0340-08.pdf,The Chinese University of Hong Kong,,"WONG,B."
