No.,title,link,Affiliation,Author in JPN,Author in ENG
1,長期記憶モデルにおける二・三の問題(統計的決定方式の最適性の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-01.pdf,和歌山大学経済学部,矢島 美寛,"Yajima, Yoshihiro"
2,点推定における漸近有効性とその問題点(統計的決定方式の最適性の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-02.pdf,大阪大学大学院基礎工学部,,高木 祥司
3,Higher Order Asymptotics in Some Non-Regular Estimation,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-03.pdf,,赤平 昌文,"Akahira, Masafumi"
4,The third order asymptotics admissibility of estimators in one parameter regular case,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-04.pdf,東京理科大学理工学部,,平川 文子
5,THIRD ORDER ASYMPTOTIC PROPERTIES OF A CLASS OF TEST STATISTICS UNDER A LOCAL ALTERNATIVE,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-05.pdf,Hiroshima University,,"TANIGUCHI, Masanobu"
6,変化する原点を持つ3母数分布からの区間データに基づく様々の推定値の存在について(統計的決定方式の最適性の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-06.pdf,"川崎医科大学,岡山大学自然科学研究科","中村 忠,李 採臣","Nakamura, Tadashi,Lee, Chae-Shin"
7,超母集団モデルにおける最適線形予測について(統計的決定方式の最適性の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-07.pdf,筑波大学理工学部,河合 伸一,"Kawai, Shinichi"
8,An interpretation of a candidate's formula,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-08.pdf,電気通信大学電子情報学科,久保木 久孝,"Kuboki, Hisataka"
9,事前情報に基づく統計的推測方式(統計的決定方式の最適性の研究),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0723-09.pdf,鹿児島大学理学部,稲田 浩一,"Inada, Koichi"
