No.,title,link,Affiliation,Author in JPN,Author in ENG
1,プレイヤーの非同質性を考慮した多選択肢ゲームにおける一般化 Deegan-Packel 値(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-01.pdf,"関西大学大学院工学研究科,関西大学","桝屋 聡,中井 暉久","Masuya, Satoshi,Nakai, Teruhisa"
2,拡張多選択肢ゲームの解(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-02.pdf,"大阪大学大学院基礎工学研究科,大阪大学大学院基礎工学研究科,","鶴見 昌代,乾口 雅弘,谷野 哲三","Tsurumi, Masayo,Inuiguchi, Masahiro,Tanino, Tetsuzo"
3,複数の選択肢があるときの投票力指数(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-03.pdf,"大阪大学大学院基礎工学研究科,大阪大学大学院基礎工学研究科","鶴見 昌代,乾口 雅弘","Tsurumi, Masayo,Inuiguchi, Masahiro"
4,アウトカムにもとづく多段決定問題について(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-04.pdf,九州大学大学院経済学研究院,中井 達,"Nakai, Toru"
5,出現個数がランダムな場合の odds-theorem(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-05.pdf,"愛知大学経営学部,愛知大学経営研究科","玉置 光司,王 ?","Tamaki, Mitsushi,Wang, Qi"
6,アメリカ型連続インストールメント・オプションの価格評価(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-06.pdf,"北海道大学経済学研究科,北海道大学経済学研究科","木村  俊一,菊地  一哲","Kimura, Toshikazu,Kikuchi, Kazuaki"
7,アメリカン交換オプションの価格評価とその応用(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-07.pdf,"北海道大学経済学研究科,北海道大学経済学部","木村 俊一,神力 慎太郎","Kimura, Toshikazu,Jinriki, Shintaro"
8,Russian Options with Finite Time Horizon: A Laplace Transform Approach(Mathematics in a Decision Making with Uncertainties and Its Applications),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-08.pdf,北海道大学経済学研究科,木村  俊一,"Kimura, Toshikazu"
9,最適化手法における関数評価回数の削減手法 : ポテンシャルモデルに基づく比較推定法の提案(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-09.pdf,"広島修道大学商学部,広島市立大学情報科学部","阪井 節子,高濱 徹行","Sakai, Setsuko,Takahama, Tetsuyuki"
10,直線上あるいは空間での探索ゲーム(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-10.pdf,兵庫県立大学経営学部,菊田 健作,"KIKUTA, Kensaku"
11,Real Options Model of R & D(Mathematics in a Decision Making with Uncertainties and Its Applications),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-11.pdf,"Graduate School of Informatics, Kyoto University,Graduate School of Economics, Kyoto University",",","Nishihara, Michi,Ohyama, Atsuyuki"
12,プログラム規模を考慮した離散ワイブル型ソフトウェア信頼性モデル(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-12.pdf,"鳥取大学工学部,鳥取大学工学部","井上 真二,山田 茂","Inoue, Shinji,Yamada, Shigeru"
13,多時点確率取締ゲームの一段階ゲーム戦略(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-13.pdf,"防衛大学校理工学研究科,防衛大学校情報工学科","前原 裕樹,宝崎 隆祐","Maehara, Hiroki,Hohzaki, Ryusuke"
14,固定費つき複数ナップサック問題の近似解法と厳密解法(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-14.pdf,"防衛大学校情報工学科,防衛大学校情報工学科","竹岡 貴裕,山田 武夫","TAKEOKA, Takahiro,YAMADA, Takeo"
15,無制約最小化問題に対する拡張 Barzilai-Borwein 法について(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-15.pdf,"東京理科大学大学院理学研究科,東京理科大学大学院理学研究科,東京理科大学数理情報科学科","若松 峻彦,成島 康史,矢部 博","Wakamatsu, Takahiko,Narushima, Yasushi,Yabe, Hiroshi"
16,顧客の意思決定を伴う競合的在庫管理問題(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-16.pdf,"大阪府立大学,大阪府立大学","北條 仁志,寺岡 義伸","Hohjo, Hitoshi,Teraoka, Yoshinobu"
17,AHP における一対比較値の緩和な整合性指標について(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-17.pdf,愛知学院大学経営学部,田中 浩光,"Tanaka, Hiromitsu"
18,ある整数資源配分ゲームのシュタッケルベルク均衡(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-18.pdf,"防衛大学校情報工学科,防衛省航空幕僚監部","宝崎 隆祐,長嶋 真一","Hohzaki, Ryusuke,Nagashima, Shinichi"
19,価値が変動する2人売り出しのノイジー・ゲーム(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-19.pdf,"大阪府立大学大学院理学系研究科情報数理科学専攻,大阪府立大学大学院理学系研究科情報数理科学専攻","寺岡 義伸,北條 仁志","Teraoka, Yoshinobu,Hohjo, Hitoshi"
20,Topics from Competitive Game Theory(Mathematics in a Decision Making with Uncertainties and Its Applications),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-20.pdf,,坂口  実,"Sakaguchi, Minoru"
21,統計的不正アクセス検知モデルの改良(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-21.pdf,"広島大学大学院工学研究科情報工学専攻,広島大学大学院工学研究科情報工学専攻,広島大学大学院工学研究科情報工学専攻","林坂 弘一郎,酒井 悠人,土肥 正","Rinsaka, Koichiro,Sakai, Yuto,Dohi, Tadashi"
22,多目的緊急施設配置問題に対する対話型ファジィ満足化手法(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-22.pdf,"広島大学大学院工学研究科,広島大学大学院工学研究科,広島大学大学院工学研究科","宇野 剛史,片桐 英樹,加藤 浩介","Uno, Takeshi,Katagiri, Hideki,Kato, Kosuke"
23,社会的評判を考慮したネットワーク形成に関するエージェントベースシミュレーション分析(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-23.pdf,"広島大学大学院工学研究科,広島大学大学院工学研究科,広島大学大学院工学研究科","林田 智弘,西崎 一郎,片桐 英樹","Hayashida, Tomohiro,Nishizaki, Ichiro,Katagiri, Hideki"
24,一般化マッチングペニーゲームに関するエージェントベース・シミュレーション分析(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-24.pdf,"広島大学大学院工学研究科,広島大学大学院工学研究科,広島大学大学院工学研究科","西崎 一郎,中倉 剛,林田 智弘","Nishizaki, Ichiro,Nakakura, Tsuyoshi,Hayashida, Tomohiro"
25,一般均衡理論における超過需要差分方程式の周期点集合に関する有限被覆最終一様漸近安定性(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-25.pdf,"同志社大学工学部インテリジェント情報工学科,大阪大学大学院情報科学研究科情報数理学専攻","齋藤 誠慈,石井 博昭","Saito, Seiji,Ishii, Hiroaki"
26,OSS に対するコンポーネントの整合性を考慮した最適バージョンアップ時期の推定に関する一考察(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-26.pdf,"広島工業大学情報学部,鳥取大学工学部社会開発システム工学科",",","田村 慶信,山田 茂"
27,日経 225 オプション市場のボラティリティ・リスク・プレミアム(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-27.pdf,"電気通信大学大学院電気通信学研究科,電気通信大学大学院電気通信学研究科","内田 康嗣,宮崎 浩一","Uchida, Yasutsugu,Miyazaki, Koichi"
28,日本株式市場局面とインプライドボラティリティの性質(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-28.pdf,"電気通信大学大学院電気通信学研究科システム工学専攻,電気通信大学大学院電気通信学研究科システム工学専攻","加藤 明,宮崎 浩一","Kato, Akira,Miyazaki, Koichi"
29,日経 225 オプションのデルタヘッジに関する一考察(不確実性を含む意思決定の数理とその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1548-29.pdf,"電気通信大学大学院電気通信学研究科システム工学専攻,電気通信大学大学院電気通信学研究科システム工学専攻","星加 裕文,宮崎 浩一","Hoshika, Hirofumi,Miyazaki, Koichi"
