No.,title,link,Affiliation,Author in JPN,Author in ENG
1,ある生態系モデルの周期アトラクターについて(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-1.pdf,島根大学総合理工学部,杉江  実郎,"Sugie, Jitsuro"
2,周期解の発生と概日リズムのモデル(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-2.pdf,大阪府立大学工学部数理工学科,鈴木  保夫,"SUZUKI, YASUO"
3,積分方程式の伝染病のモデルへの応用(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-3.pdf,早稲田大学高等学院,柳谷 晃,"yanagiya, Akira"
4,Global Asymptotic Properties of a Delay SIR Epidemic Model with Varying Population Size and Finite Incubation Times(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-4.pdf,"静岡大学工学部,静岡大学大学院電子科学研究科,Urbino大学","竹内 康博,馬 万彪,","Takeuchi, Yasuhiro,Ma, Wanbiao,Beretta, Edoardo"
5,On a duck solution and delay in the FitzHugh-Nagumo equation(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-5.pdf,"College of General Education, Aichi University,Department of Mathematics, Musashi Institute of Technology","垣内 伸彦,知沢 清之","Kakiuchi, Nobuhiko,Tchizawa, Kiyoyuki"
6,"関数微分方程式 $x'(t)=A(t)x(t-r(t, x_t))$の一様安定性について(関数方程式の構造と方法)",http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-6.pdf,"大阪府立大学工学部,大阪府立大学工学部","西平  慎太郎,米山 俊昭","Nishihira, Shintaro,Yoneyama, Toshiaki"
7,Characteristic equation and asymptotic behavior of 2-dimensional delay-differential equations(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-7.pdf,大阪府立大学工学部,宮崎 倫子,"Miyazaki, Rinko"
8,Melnikov の方法とその拡張(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-8.pdf,岐阜大学工学部,矢ケ崎 一幸,"Yagasaki, Kazuyuki"
9,関数微分方程式の準周期解の近似解法(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-9.pdf,"Department of Computer Science, Faculty of Engineering,Department of Computer Science, Faculty of Engineering,Department of Computer Science, Faculty of Engineering","油井  誠志,細野  健司,栗原  光信","Yui, S.,Hosono, K.,Kurihara, M."
10,POLYHEDRAL HARMONICS(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-10.pdf,"Department of Mathematical Sciences, The University of Tokyo",岩崎 克則,"IWASAKI, KATSUNORI"
11,EXISTENCE OF A RECURRENT TRAJECTORY FOR RECURRENT PROCESSES(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-11.pdf,"Department of Mathematical Sciences, University of Tokyo",飯田 健一,"IIDA, Ken-ichi"
12,Hopf bifurcation for delayed equation of van der Pol type(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-12.pdf,"徳島大学総合科学部,大阪府立大学工学部","村上 公一,原 惟行","Murakami, Kouichi,Hara, Tadayuki"
13,Weak solutions of Sine-Gordon equation and their numerical analysis(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-13.pdf,"神戸大学自然科学研究科,神戸大学工学部","エルガマル M.,中桐 信一","Elgamal, Mahmoud,Nakagiri, Shin-ichi"
14,ある非線形楕円型境界値問題の特異解の族について(関数方程式の構造と方法),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-14.pdf,"大阪大学理学研究科,大阪大学理学研究科","浜武  亜希子,鈴木  貴","Hamatake, Akiko,Suzuki, Takashi"
15,Evolution Equations with Infinite Delay(Structure of Functional Equations and Mathematical Methods),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0984-15.pdf,"電気通信大学,朝鮮大学","内藤 敏機,申 正善","Naito, Toshiki,Shin, Jong Son"
