No.,title,link,Affiliation,Author in JPN,Author in ENG
1,位相幾何学の経済学について : 現状と問題点(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-01.pdf,筑波大学社会科学系,酒井 泰弘,"Sakai, Yasuhiro"
2,THE RATIONAL EXPECTATIONS APPROACH IN GENERAL EQUILIBRIUM ANALYSIS : AN OVERVIEW,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-02.pdf,Toyohashi University of Technology,,"Mashiyama, Koichi"
3,Theory of Measurable Correspondences and Calculus of Variation,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-03.pdf,Keio University,,"Maruyama, Toru"
4,非線型固有値問題 : 森嶋の定理の拡張(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-04.pdf,京都大学理学部,押目 頼昌,"Oshime, Yorimasa"
5,Generic Bifurcations of Varieties I,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-05.pdf,奈良女子大学理学部,泉屋 周一,"Izumiya, Shuichi"
6,社会的選択に関するChichilniskyの考察について(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-06.pdf,成城大学経済学部,松江 広文,"Matsue, Hirofumi"
7,公共財と一般均衡理論 : non-tatonmentの動学的調整過程の一例(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-07.pdf,豊橋技術科学大学,折下 功,"Orishimo, Isao"
8,不動点定理の現状(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-08.pdf,東京工業大学理学部,高橋 渉,"Takahashi, Wataru"
9,不動点定理と一般均衡理論 : 最近の発展(位相幾何学と経済学),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-09.pdf,東京都立大学,西村 和雄,"Nishimura, Kazuo"
10,OPTIMAL GROWTH MODELS UNDER ALTERNATIVE CRITERIA,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-10.pdf,Toyohashi University of Technology,,"Asahi, Joji"
11,HOUSING AS AN ASSET AND THE EFFECTS OF PROPERTY TAXES ON THE RESIDENTIAL DEVELOPMENT PROCESS,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0478-11.pdf,"Institute of Socio-Economic Planning, University of Tsukuba",,"Kanemoto, Yoshitsugu"
