No.,title,link,Affiliation,Author in JPN,Author in ENG
1,非正則な場合のPitman Efficiencyについて (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-01.pdf,大阪市立大学,鈴木 武,"SUZUKI,TAKERU"
2,U統計量の分布関数の収束速度について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-02.pdf,静岡大学工学部,多賀 保志,"TAGA,YASUSHI"
3,ニ次形式の行列式の漸近分布について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-03.pdf,統計数理研究所,早川 毅,"HAYAKAWA,TAKESHI"
4,多変量解析におけるある種の検定統計量の漸近分布について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-04.pdf,神戸大学教養部,藤越 康祝,"FUJIKOSHI,YASUNORI"
5,共分散行列に関するいくつかの検定の仮説の下での漸近分布について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-05.pdf,熊本大学教養部,長尾 寿夫,"NAGAO,HISAO"
6,最尤推定量の一致性について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-06.pdf,和歌山大学経済学部,松田 忠之,"MATSUDA,TADAYUKI"
7,推量関数と推定量 : とくに推定尤度関数と再尤推定量 (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-07.pdf,統計数理研究所,稲垣 宣生,"INAGAKI,NOBUO"
8,Nonparametric Two-Sample Testsについて (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-08.pdf,熊本大学理学部,田村 亮二,"TAMURA,RYOJI"
9,極値統計量の一様漸近分布について (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-09.pdf,"創価大学経済学部,香川大学経済学部","池田 貞雄,松縄 規","IKEDA,SADAO,MATSUNAWA,TADASHI"
10,臨床比較試験における統計的逐次検定 (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-10.pdf,"神戸商船大学応用数学教室,塩野義製薬株式会社解析センター,塩野義製薬株式会社解析センター","杉村 正彦,後藤 昌司,浅野 長一郎","SUGIMURA,MASAHIKO,GOTO,MASASHI,ASANO,CHOICHIRO"
11,中心極限定理における剰余項の評価 (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-11.pdf,統計数理研究所,清水 良一,"SHIMIZU,RYOICHI"
12,A Geometry of Parameter Space and It's Statistical Interpretation (統計的漸近理論),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0167-12.pdf,山梨大学工学部,吉沢 正,"YOSHIZAWA,TADASHI"
