No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Nontrivial Solutions of Semilinear Elliptic Equations with Continuous or Discontinuous Nonlinearities,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-01.pdf,東京工業大学理学部,溝口 紀子,"MIZOGUCHI, NORIKO"
2,楕円型方程式系に対するsupersolution-subsolution法と正値全域解の存在(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-02.pdf,佐賀大学理工学部,古庄 康浩,"Furusho, Yasuhiro"
3,Structure Theorems for Positive Radial Solutions to a Semilinear Elliptic Equation,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-03.pdf,東京工業大学理学部情報科学科,柳田 英二,"Yanagida, Eiji"
4,On Some Quasilinear Elliptic Equations,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-04.pdf,"Department of Applied Physics, School of Science and Engineering, Waseda University",,"OTANI, Mitsuharu"
5,障害問題の解の臨界点について(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-05.pdf,東京工業大学理学部,坂口 茂,"Sakaguchi, Shigeru"
6,ON THE EXISTENCE OF HETEROCLINIC SOLUTIONS FOR SEMILINEAR ELLIPTIC EQUATIONS ON A STRIP-LIKE DOMAIN,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-06.pdf,"Faculty of Engineering, YOKOHAMA NATIONAL UNIVERSITY",,"Hirano, Norimichi"
7,ある移流拡散方程式系の解の爆発(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-07.pdf,九州工業大学工学部,永井 敏隆,"Nagai, Toshitaka"
8,非線型退化型粘性項をもつBurgers方程式の解の希薄波への漸近(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-08.pdf,"金沢大学理学部,早稲田大学政経学部","松村 昭孝,西原 健二","Matsumura, Akitaka,Nishihara, Kenji"
9,非線型Sturm-Liouville問題の解の漸近挙動(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-09.pdf,沼津工業高等専門学校,柴田 徹太郎,"Shibata, Tetsutaro"
10,対称性破壊:分岐論からの接近(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-10.pdf,都立大学理学部,鈴木 貴,"Suzuki, Takashi"
11,ON THE PARTIAL REGULARITY OF BOUNDED WEAK SOLUTIONS TO NONLINEAR DEGENERATE PARABOLIC SYSTEMS OF P-HARMONIC TYPE,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-11.pdf,"Department of Mathematics, Faculty of Science and Technology, Keio University",三沢 正史,"MISAWA, MASASHI"
12,$S^2$-値の Harmonic maps について(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-12.pdf,名古屋大学理学部,,笹原 康浩
13,Exponential Harmonic Function の Reularity について(変分問題と非線型楕円型方程式),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0780-13.pdf,名古屋大学理学部,内藤 久資,"NAITO, Hisashi"
