No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Connesについて (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-01.pdf,奈良工業高等専門学校,北川 誠之助,"KITAGAWA,SEINOSUKE"
2,Invariant Sの性質について (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-02.pdf,東北大学理学部,洲之内 長一郎,"SUNOUCHI,CHOICHIRO"
3,On Connes' Work (3) : III型Factorの分類 (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-03.pdf,東京工業大学理学部,中神 祥臣,"NAKAGAMI,YOSHIOMI"
4,Automorphism Groups and Equivalence in von Neumann Algebras and Ergodic Type Theorems (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-04.pdf,東北大学理学部,斎藤 和之,"SAITO,KAZUYUKI"
5,$C^*$-代数のMultiplierとDerivationについて (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-05.pdf,山形大学理学部,富山 淳,"TOMIYAMA,JUN"
6,On Some Properties of Toeplitz Operators (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-06.pdf,東北大学教養部,吉野 崇,"YOSHINO,TAKASHI"
7,Polar Decomposition for Isomorphisms of $C^*$-Algebras (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-07.pdf,東北大学教養部,岡安 隆照,"OKAYASU,TAKATERU"
8,Hilbert SpaceのUnbounded Vectorについて (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-08.pdf,九州大学理学部,冨田 稔,"TOMITA,MINORU"
9,Relative Hamiltonian for States of von Neumann Algebras (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-09.pdf,京都大学数理解析研究所,荒木 不二洋,"ARAKI,HUZIHIRO"
10,On the Topological Reduction of von Neumann Algebras (Operator algebraとその応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0177-10.pdf,東北大学教養部,武元 英夫,"TAKEMOTO,HIDEO"
